"Persons Naturalized During Fiscal Year 2005","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Fresno, CA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1579.0","683.0","896.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","252.0","103.0","149.0","-"
"25-34 years","486.0","206.0","280.0","-"
"35-44 years","354.0","160.0","194.0","-"
"45-54 years","189.0","80.0","109.0","-"
"55-64 years","149.0","64.0","85.0","-"
"65 years and over","149.0","70.0","79.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","383.0","191.0","192.0","-"
"Married","1033.0","449.0","584.0","-"
"Other","157.0","41.0","116.0","-"
"Unknown","6.0","2.0","4.0","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","24.0","11.0","13.0","-"
"Professional and technical","56.0","23.0","33.0","-"
"Sales","52.0","22.0","30.0","-"
"Administrative support","19.0","D","D","-"
"Farming, forestry, fisheries","D","D","D","-"
"Operators, fabricators, laborers","65.0","56.0","9.0","-"
"Precision production, craft, repair","18.0","D","D","-"
"Service","56.0","15.0","41.0","-"
"Military","D","D","-","-"
"No occupation","242.0","81.0","161.0","-"
"Unknown","1028.0","440.0","588.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Armenia","18.0","D","D","-"
"Cambodia","28.0","9.0","19.0","-"
"Canada","12.0","7.0","5.0","-"
"China","31.0","13.0","18.0","-"
"El Salvador","27.0","8.0","19.0","-"
"Guatemala","12.0","6.0","6.0","-"
"India","199.0","101.0","98.0","-"
"Iran","30.0","16.0","14.0","-"
"Korea","17.0","10.0","7.0","-"
"Laos","204.0","89.0","115.0","-"
"Lebanon","12.0","6.0","6.0","-"
"Mexico","572.0","258.0","314.0","-"
"Pakistan","12.0","5.0","7.0","-"
"Philippines","78.0","27.0","51.0","-"
"Russia","16.0","7.0","9.0","-"
"Thailand","66.0","30.0","36.0","-"
"Ukraine","16.0","8.0","8.0","-"
"United Kingdom","12.0","D","D","-"
"Vietnam","49.0","13.0","36.0","-"
"Yemen","13.0","8.0","5.0","-"
"Other","154.0","54.0","100.0","-"
"Unknown","1.0","1.0","-","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
