"Persons Naturalized During Fiscal Year 2005","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Grand Island, NE","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","84.0","36.0","48.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","9.0","4.0","5.0","-"
"25-34 years","27.0","10.0","17.0","-"
"35-44 years","25.0","11.0","14.0","-"
"45-54 years","9.0","4.0","5.0","-"
"55-64 years","7.0","4.0","3.0","-"
"65 years and over","7.0","3.0","4.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","15.0","6.0","9.0","-"
"Married","61.0","26.0","35.0","-"
"Other","8.0","4.0","4.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","D","D","-","-"
"Professional and technical","-","-","-","-"
"Sales","D","D","D","-"
"Administrative support","D","-","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","9.0","5.0","4.0","-"
"Precision production, craft, repair","D","D","-","-"
"Service","D","-","D","-"
"Military","-","-","-","-"
"No occupation","5.0","D","D","-"
"Unknown","64.0","26.0","38.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"China","D","D","-","-"
"El Salvador","7.0","4.0","3.0","-"
"Guatemala","6.0","D","D","-"
"Haiti","D","-","D","-"
"Honduras","4.0","D","D","-"
"Laos","12.0","3.0","9.0","-"
"Mexico","34.0","16.0","18.0","-"
"Philippines","3.0","D","D","-"
"Serbia and Montenegro","D","D","D","-"
"Sudan","D","D","-","-"
"Vietnam","10.0","3.0","7.0","-"
"Zimbabwe","D","D","-","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
