"Persons Naturalized During Fiscal Year 2005","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Hartford-West Hartford-East Hartford, CT","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","2561.0","1185.0","1376.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","265.0","113.0","152.0","-"
"25-34 years","720.0","324.0","396.0","-"
"35-44 years","726.0","352.0","374.0","-"
"45-54 years","423.0","187.0","236.0","-"
"55-64 years","268.0","136.0","132.0","-"
"65 years and over","159.0","73.0","86.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","588.0","285.0","303.0","-"
"Married","1657.0","773.0","884.0","-"
"Other","316.0","127.0","189.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","55.0","36.0","19.0","-"
"Professional and technical","97.0","45.0","52.0","-"
"Sales","19.0","D","D","-"
"Administrative support","D","-","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","88.0","60.0","28.0","-"
"Precision production, craft, repair","D","D","-","-"
"Service","28.0","12.0","16.0","-"
"Military","10.0","D","D","-"
"No occupation","235.0","95.0","140.0","-"
"Unknown","2016.0","913.0","1103.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Albania","75.0","37.0","38.0","-"
"Bosnia and Herzegovina","51.0","24.0","27.0","-"
"Canada","56.0","22.0","34.0","-"
"China","68.0","32.0","36.0","-"
"Colombia","54.0","21.0","33.0","-"
"Dominican Republic","64.0","22.0","42.0","-"
"Ghana","52.0","27.0","25.0","-"
"Guyana","45.0","20.0","25.0","-"
"India","200.0","95.0","105.0","-"
"Jamaica","379.0","154.0","225.0","-"
"Nigeria","36.0","16.0","20.0","-"
"Pakistan","64.0","35.0","29.0","-"
"Peru","95.0","52.0","43.0","-"
"Philippines","46.0","13.0","33.0","-"
"Poland","324.0","138.0","186.0","-"
"Portugal","35.0","21.0","14.0","-"
"Russia","36.0","15.0","21.0","-"
"Serbia and Montenegro","47.0","28.0","19.0","-"
"Ukraine","39.0","20.0","19.0","-"
"Vietnam","71.0","41.0","30.0","-"
"Other","724.0","352.0","372.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
