"Persons Naturalized During Fiscal Year 2005","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Hudson, NY","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","57.0","23.0","34.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","D","-","D","-"
"25-34 years","18.0","D","D","-"
"35-44 years","13.0","5.0","8.0","-"
"45-54 years","16.0","9.0","7.0","-"
"55-64 years","D","3.0","D","-"
"65 years and over","4.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","4.0","D","D","-"
"Married","49.0","20.0","29.0","-"
"Other","4.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","D","-","D","-"
"Professional and technical","9.0","D","D","-"
"Sales","-","-","-","-"
"Administrative support","-","-","-","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","10.0","5.0","5.0","-"
"Precision production, craft, repair","D","D","-","-"
"Service","D","-","D","-"
"Military","-","-","-","-"
"No occupation","6.0","-","6.0","-"
"Unknown","28.0","12.0","16.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bangladesh","17.0","6.0","11.0","-"
"Brazil","D","D","-","-"
"Canada","D","D","-","-"
"China","D","-","D","-"
"Colombia","D","-","D","-"
"Ecuador","D","D","-","-"
"El Salvador","D","D","-","-"
"France","D","-","D","-"
"Germany","D","-","D","-"
"Greece","D","-","D","-"
"Guyana","D","D","-","-"
"Haiti","D","D","D","-"
"India","4.0","D","D","-"
"Jamaica","5.0","D","D","-"
"Japan","D","-","D","-"
"Mexico","D","D","-","-"
"Nicaragua","D","D","-","-"
"Pakistan","3.0","D","D","-"
"Romania","D","-","D","-"
"United Kingdom","4.0","D","D","-"
"Other","4.0","1.0","3.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
