"Persons Naturalized During Fiscal Year 2005","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Kingston, NY","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","153.0","67.0","86.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","15.0","6.0","9.0","-"
"25-34 years","41.0","12.0","29.0","-"
"35-44 years","38.0","17.0","21.0","-"
"45-54 years","30.0","14.0","16.0","-"
"55-64 years","18.0","12.0","6.0","-"
"65 years and over","11.0","6.0","5.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","20.0","6.0","14.0","-"
"Married","110.0","55.0","55.0","-"
"Other","23.0","6.0","17.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","5.0","D","D","-"
"Professional and technical","9.0","5.0","4.0","-"
"Sales","6.0","D","D","-"
"Administrative support","D","-","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","10.0","D","D","-"
"Precision production, craft, repair","D","D","-","-"
"Service","16.0","7.0","9.0","-"
"Military","-","-","-","-"
"No occupation","17.0","D","D","-"
"Unknown","87.0","37.0","50.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Argentina","3.0","D","D","-"
"Bangladesh","4.0","D","D","-"
"Brazil","3.0","D","D","-"
"China","5.0","D","D","-"
"Colombia","4.0","D","D","-"
"Ecuador","3.0","D","D","-"
"El Salvador","8.0","D","D","-"
"France","4.0","D","D","-"
"Germany","3.0","D","D","-"
"Haiti","3.0","D","D","-"
"India","8.0","5.0","3.0","-"
"Jamaica","18.0","7.0","11.0","-"
"Korea","6.0","D","D","-"
"Mexico","6.0","D","D","-"
"Pakistan","7.0","D","D","-"
"Peru","5.0","-","5.0","-"
"Philippines","3.0","D","D","-"
"Poland","6.0","3.0","3.0","-"
"Russia","5.0","D","D","-"
"United Kingdom","8.0","D","D","-"
"Other","40.0","18.0","22.0","-"
"Unknown","1.0","-","1.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
