"Persons Naturalized During Fiscal Year 2005","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Knoxville, TN","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","266.0","116.0","150.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","32.0","9.0","23.0","-"
"25-34 years","73.0","35.0","38.0","-"
"35-44 years","75.0","31.0","44.0","-"
"45-54 years","53.0","29.0","24.0","-"
"55-64 years","24.0","9.0","15.0","-"
"65 years and over","9.0","3.0","6.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","56.0","30.0","26.0","-"
"Married","198.0","83.0","115.0","-"
"Other","12.0","3.0","9.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","16.0","7.0","9.0","-"
"Professional and technical","15.0","9.0","6.0","-"
"Sales","7.0","D","D","-"
"Administrative support","D","-","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","6.0","D","D","-"
"Precision production, craft, repair","D","D","-","-"
"Service","D","D","-","-"
"Military","D","D","D","-"
"No occupation","38.0","8.0","30.0","-"
"Unknown","177.0","81.0","96.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Australia","4.0","D","D","-"
"Bosnia and Herzegovina","11.0","4.0","7.0","-"
"Bulgaria","4.0","D","D","-"
"Canada","18.0","6.0","12.0","-"
"China","6.0","D","D","-"
"Colombia","4.0","-","4.0","-"
"Germany","4.0","D","D","-"
"India","25.0","16.0","9.0","-"
"Iran","5.0","D","D","-"
"Iraq","4.0","D","D","-"
"Jamaica","4.0","D","D","-"
"Korea","5.0","D","D","-"
"Malaysia","5.0","D","D","-"
"Mexico","11.0","5.0","6.0","-"
"Pakistan","4.0","D","D","-"
"Philippines","12.0","D","D","-"
"Romania","9.0","4.0","5.0","-"
"Serbia and Montenegro","11.0","7.0","4.0","-"
"United Kingdom","11.0","6.0","5.0","-"
"Vietnam","23.0","12.0","11.0","-"
"Other","86.0","36.0","50.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
