"Persons Naturalized During Fiscal Year 2005","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Las Cruces, NM","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","231.0","93.0","138.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","44.0","16.0","28.0","-"
"25-34 years","74.0","29.0","45.0","-"
"35-44 years","56.0","22.0","34.0","-"
"45-54 years","31.0","13.0","18.0","-"
"55-64 years","17.0","8.0","9.0","-"
"65 years and over","9.0","5.0","4.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","59.0","22.0","37.0","-"
"Married","146.0","62.0","84.0","-"
"Other","26.0","9.0","17.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","6.0","D","D","-"
"Professional and technical","15.0","9.0","6.0","-"
"Sales","5.0","D","D","-"
"Administrative support","D","-","D","-"
"Farming, forestry, fisheries","D","-","D","-"
"Operators, fabricators, laborers","14.0","10.0","4.0","-"
"Precision production, craft, repair","D","D","-","-"
"Service","7.0","D","D","-"
"Military","3.0","D","D","-"
"No occupation","41.0","11.0","30.0","-"
"Unknown","135.0","51.0","84.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Algeria","D","-","D","-"
"Belgium","D","-","D","-"
"Bolivia","D","-","D","-"
"Canada","D","-","D","-"
"China","4.0","D","D","-"
"El Salvador","D","D","-","-"
"Germany","D","D","-","-"
"Ghana","D","D","-","-"
"Guatemala","3.0","D","D","-"
"India","5.0","D","D","-"
"Iran","D","D","D","-"
"Italy","D","D","D","-"
"Japan","D","D","D","-"
"Korea","3.0","D","D","-"
"Mexico","184.0","74.0","110.0","-"
"Nicaragua","D","D","-","-"
"Philippines","7.0","D","D","-"
"Russia","D","-","D","-"
"Saudi Arabia","D","D","-","-"
"United Kingdom","D","-","D","-"
"Other","3.0","-","3.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
