"Persons Naturalized During Fiscal Year 2005","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Lebanon, NH-VT","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","73.0","34.0","39.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","D","-","D","-"
"25-34 years","17.0","D","D","-"
"35-44 years","26.0","14.0","12.0","-"
"45-54 years","16.0","11.0","5.0","-"
"55-64 years","D","D","D","-"
"65 years and over","7.0","-","7.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","10.0","D","D","-"
"Married","56.0","27.0","29.0","-"
"Other","7.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","D","D","-","-"
"Professional and technical","4.0","D","D","-"
"Sales","-","-","-","-"
"Administrative support","-","-","-","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","-","-","-","-"
"Precision production, craft, repair","-","-","-","-"
"Service","-","-","-","-"
"Military","-","-","-","-"
"No occupation","D","D","D","-"
"Unknown","65.0","30.0","35.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Algeria","D","D","-","-"
"Belarus","D","-","D","-"
"Brazil","4.0","D","D","-"
"Bulgaria","D","D","D","-"
"Cambodia","D","D","D","-"
"Canada","10.0","7.0","3.0","-"
"China","4.0","-","4.0","-"
"Czechoslovakia (former)","D","-","D","-"
"Finland","D","-","D","-"
"Greece","3.0","D","D","-"
"Guatemala","D","D","D","-"
"India","3.0","D","D","-"
"Ireland","D","D","-","-"
"Japan","D","D","D","-"
"Mexico","D","-","D","-"
"Nigeria","D","D","-","-"
"Philippines","4.0","-","4.0","-"
"Poland","4.0","D","D","-"
"Russia","5.0","D","D","-"
"United Kingdom","8.0","D","D","-"
"Other","10.0","8.0","2.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
