"Persons Naturalized During Fiscal Year 2005","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Manchester-Nashua, NH","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","557.0","257.0","300.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","46.0","19.0","27.0","-"
"25-34 years","144.0","68.0","76.0","-"
"35-44 years","168.0","74.0","94.0","-"
"45-54 years","96.0","47.0","49.0","-"
"55-64 years","73.0","36.0","37.0","-"
"65 years and over","30.0","13.0","17.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","99.0","53.0","46.0","-"
"Married","400.0","184.0","216.0","-"
"Other","58.0","20.0","38.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","7.0","3.0","4.0","-"
"Professional and technical","20.0","8.0","12.0","-"
"Sales","4.0","D","D","-"
"Administrative support","D","-","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","25.0","14.0","11.0","-"
"Precision production, craft, repair","D","D","-","-"
"Service","4.0","D","D","-"
"Military","D","D","-","-"
"No occupation","33.0","12.0","21.0","-"
"Unknown","459.0","213.0","246.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bosnia and Herzegovina","56.0","31.0","25.0","-"
"Brazil","9.0","3.0","6.0","-"
"Canada","48.0","24.0","24.0","-"
"China","18.0","6.0","12.0","-"
"Colombia","20.0","6.0","14.0","-"
"Dominican Republic","58.0","22.0","36.0","-"
"Ecuador","8.0","3.0","5.0","-"
"El Salvador","9.0","3.0","6.0","-"
"Haiti","13.0","10.0","3.0","-"
"India","47.0","29.0","18.0","-"
"Ireland","7.0","D","D","-"
"Mexico","11.0","4.0","7.0","-"
"Pakistan","9.0","3.0","6.0","-"
"Philippines","10.0","3.0","7.0","-"
"Romania","8.0","4.0","4.0","-"
"Serbia and Montenegro","14.0","7.0","7.0","-"
"Sudan","7.0","D","D","-"
"Ukraine","9.0","5.0","4.0","-"
"United Kingdom","17.0","8.0","9.0","-"
"Vietnam","29.0","8.0","21.0","-"
"Other","149.0","67.0","82.0","-"
"Unknown","1.0","-","1.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
