"Persons Naturalized During Fiscal Year 2005","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Nashville-Davidson--Murfreesboro, TN","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1835.0","864.0","971.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","250.0","102.0","148.0","-"
"25-34 years","607.0","271.0","336.0","-"
"35-44 years","518.0","271.0","247.0","-"
"45-54 years","274.0","127.0","147.0","-"
"55-64 years","133.0","65.0","68.0","-"
"65 years and over","53.0","28.0","25.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","451.0","260.0","191.0","-"
"Married","1229.0","546.0","683.0","-"
"Other","153.0","56.0","97.0","-"
"Unknown","2.0","2.0","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","57.0","36.0","21.0","-"
"Professional and technical","99.0","38.0","61.0","-"
"Sales","20.0","12.0","8.0","-"
"Administrative support","7.0","D","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","81.0","54.0","27.0","-"
"Precision production, craft, repair","18.0","D","D","-"
"Service","48.0","26.0","22.0","-"
"Military","-","-","-","-"
"No occupation","189.0","60.0","129.0","-"
"Unknown","1316.0","619.0","697.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bosnia and Herzegovina","67.0","38.0","29.0","-"
"Canada","38.0","20.0","18.0","-"
"China","32.0","11.0","21.0","-"
"Egypt","156.0","89.0","67.0","-"
"Ethiopia","45.0","24.0","21.0","-"
"India","108.0","52.0","56.0","-"
"Iran","54.0","28.0","26.0","-"
"Iraq","180.0","82.0","98.0","-"
"Korea","41.0","14.0","27.0","-"
"Kuwait","20.0","7.0","13.0","-"
"Laos","122.0","50.0","72.0","-"
"Mexico","86.0","43.0","43.0","-"
"Nigeria","50.0","26.0","24.0","-"
"Philippines","41.0","9.0","32.0","-"
"Romania","20.0","5.0","15.0","-"
"Serbia and Montenegro","37.0","19.0","18.0","-"
"Somalia","62.0","37.0","25.0","-"
"Sudan","43.0","35.0","8.0","-"
"United Kingdom","30.0","16.0","14.0","-"
"Vietnam","98.0","44.0","54.0","-"
"Other","502.0","212.0","290.0","-"
"Unknown","3.0","3.0","-","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
