"Persons Naturalized During Fiscal Year 2005","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Trenton-Ewing, NJ","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","998.0","456.0","542.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","110.0","47.0","63.0","-"
"25-34 years","234.0","95.0","139.0","-"
"35-44 years","344.0","167.0","177.0","-"
"45-54 years","172.0","85.0","87.0","-"
"55-64 years","82.0","39.0","43.0","-"
"65 years and over","56.0","23.0","33.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","218.0","103.0","115.0","-"
"Married","698.0","326.0","372.0","-"
"Other","82.0","27.0","55.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","70.0","47.0","23.0","-"
"Professional and technical","134.0","64.0","70.0","-"
"Sales","26.0","11.0","15.0","-"
"Administrative support","23.0","4.0","19.0","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","45.0","37.0","8.0","-"
"Precision production, craft, repair","8.0","D","D","-"
"Service","39.0","14.0","25.0","-"
"Military","7.0","D","D","-"
"No occupation","158.0","51.0","107.0","-"
"Unknown","488.0","218.0","270.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"China","41.0","19.0","22.0","-"
"Colombia","22.0","9.0","13.0","-"
"Dominican Republic","22.0","7.0","15.0","-"
"Ecuador","30.0","17.0","13.0","-"
"Egypt","16.0","13.0","3.0","-"
"Guatemala","34.0","19.0","15.0","-"
"Haiti","46.0","23.0","23.0","-"
"India","200.0","101.0","99.0","-"
"Italy","12.0","6.0","6.0","-"
"Jamaica","48.0","19.0","29.0","-"
"Korea","28.0","14.0","14.0","-"
"Liberia","35.0","9.0","26.0","-"
"Nigeria","13.0","9.0","4.0","-"
"Pakistan","33.0","15.0","18.0","-"
"Philippines","30.0","13.0","17.0","-"
"Poland","56.0","29.0","27.0","-"
"Russia","18.0","5.0","13.0","-"
"Soviet Union (former)","12.0","7.0","5.0","-"
"Taiwan","29.0","13.0","16.0","-"
"United Kingdom","15.0","7.0","8.0","-"
"Other","258.0","102.0","156.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
