"Persons Naturalized During Fiscal Year 2005","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Bloomington-Normal, IL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","74.0","33.0","41.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","10.0","6.0","4.0","-"
"25-34 years","19.0","8.0","11.0","-"
"35-44 years","30.0","14.0","16.0","-"
"45-54 years","9.0","D","D","-"
"55-64 years","D","D","D","-"
"65 years and over","D","-","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","14.0","8.0","6.0","-"
"Married","54.0","25.0","29.0","-"
"Other","6.0","-","6.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","5.0","D","D","-"
"Professional and technical","6.0","D","D","-"
"Sales","-","-","-","-"
"Administrative support","D","D","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","3.0","D","D","-"
"Precision production, craft, repair","-","-","-","-"
"Service","D","D","D","-"
"Military","-","-","-","-"
"No occupation","9.0","4.0","5.0","-"
"Unknown","47.0","19.0","28.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Algeria","D","D","-","-"
"Brazil","4.0","D","D","-"
"Canada","4.0","D","D","-"
"China","7.0","D","D","-"
"Colombia","D","D","-","-"
"Cote d'Ivoire","D","D","-","-"
"Ecuador","D","D","D","-"
"Guatemala","D","D","D","-"
"Haiti","D","D","-","-"
"India","8.0","D","D","-"
"Indonesia","D","D","-","-"
"Iran","D","-","D","-"
"Jamaica","D","-","D","-"
"Japan","3.0","D","D","-"
"Jordan","D","D","-","-"
"Mexico","12.0","6.0","6.0","-"
"Nigeria","3.0","D","D","-"
"Philippines","5.0","D","D","-"
"Taiwan","D","D","D","-"
"Vietnam","D","D","D","-"
"Other","11.0","6.0","5.0","-"
"Unknown","1.0","-","1.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
