"Persons Naturalized During Fiscal Year 2005","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Tyler, TX","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","143.0","66.0","77.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","24.0","10.0","14.0","-"
"25-34 years","36.0","11.0","25.0","-"
"35-44 years","49.0","26.0","23.0","-"
"45-54 years","18.0","8.0","10.0","-"
"55-64 years","6.0","D","D","-"
"65 years and over","10.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","21.0","D","D","-"
"Married","114.0","54.0","60.0","-"
"Other","8.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","7.0","D","D","-"
"Professional and technical","15.0","5.0","10.0","-"
"Sales","5.0","D","D","-"
"Administrative support","D","D","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","10.0","D","D","-"
"Precision production, craft, repair","D","D","-","-"
"Service","D","-","D","-"
"Military","-","-","-","-"
"No occupation","20.0","9.0","11.0","-"
"Unknown","81.0","33.0","48.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Australia","D","D","-","-"
"Bangladesh","D","D","-","-"
"Brazil","D","D","-","-"
"Cambodia","D","D","-","-"
"Canada","3.0","D","D","-"
"Dominican Republic","D","D","D","-"
"El Salvador","6.0","D","D","-"
"Germany","D","-","D","-"
"Guatemala","D","-","D","-"
"Hungary","D","-","D","-"
"India","5.0","D","D","-"
"Lebanon","D","-","D","-"
"Mexico","75.0","35.0","40.0","-"
"Nigeria","4.0","-","4.0","-"
"Pakistan","5.0","D","D","-"
"Philippines","12.0","4.0","8.0","-"
"Russia","D","-","D","-"
"Taiwan","4.0","D","D","-"
"United Kingdom","D","D","-","-"
"Vietnam","5.0","D","D","-"
"Other","6.0","3.0","3.0","-"
"Unknown","1.0","1.0","-","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
