"Persons Naturalized During Fiscal Year 2005","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Wilmington, NC","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","69.0","23.0","46.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","6.0","D","D","-"
"25-34 years","21.0","5.0","16.0","-"
"35-44 years","17.0","7.0","10.0","-"
"45-54 years","19.0","6.0","13.0","-"
"55-64 years","D","D","3.0","-"
"65 years and over","D","-","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","12.0","5.0","7.0","-"
"Married","50.0","18.0","32.0","-"
"Other","7.0","-","7.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","8.0","D","D","-"
"Professional and technical","8.0","4.0","4.0","-"
"Sales","D","-","D","-"
"Administrative support","-","-","-","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","D","-","D","-"
"Precision production, craft, repair","D","D","-","-"
"Service","9.0","D","D","-"
"Military","D","D","-","-"
"No occupation","15.0","D","D","-"
"Unknown","23.0","10.0","13.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Brazil","D","-","D","-"
"Bulgaria","D","-","D","-"
"Canada","5.0","D","D","-"
"China","6.0","D","D","-"
"Colombia","D","-","D","-"
"Egypt","D","-","D","-"
"Ethiopia","D","D","-","-"
"France","D","-","D","-"
"Germany","D","-","D","-"
"India","4.0","D","D","-"
"Iran","3.0","D","D","-"
"Ireland","D","D","D","-"
"Jamaica","D","D","-","-"
"Jordan","D","D","D","-"
"Mexico","5.0","D","D","-"
"Russia","D","-","D","-"
"South Africa","D","D","-","-"
"Soviet Union (former)","D","D","D","-"
"United Kingdom","6.0","3.0","3.0","-"
"Vietnam","7.0","D","D","-"
"Other","12.0","1.0","11.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
