"Persons Naturalized During Fiscal Year 2005","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Boulder, CO","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","380.0","188.0","192.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","38.0","22.0","16.0","-"
"25-34 years","100.0","43.0","57.0","-"
"35-44 years","123.0","66.0","57.0","-"
"45-54 years","65.0","26.0","39.0","-"
"55-64 years","35.0","20.0","15.0","-"
"65 years and over","19.0","11.0","8.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","81.0","53.0","28.0","-"
"Married","268.0","122.0","146.0","-"
"Other","31.0","13.0","18.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","16.0","8.0","8.0","-"
"Professional and technical","53.0","34.0","19.0","-"
"Sales","9.0","3.0","6.0","-"
"Administrative support","3.0","D","D","-"
"Farming, forestry, fisheries","D","D","-","-"
"Operators, fabricators, laborers","18.0","14.0","4.0","-"
"Precision production, craft, repair","D","D","-","-"
"Service","16.0","7.0","9.0","-"
"Military","D","D","D","-"
"No occupation","54.0","22.0","32.0","-"
"Unknown","206.0","95.0","111.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Australia","7.0","3.0","4.0","-"
"Bosnia and Herzegovina","13.0","7.0","6.0","-"
"Cambodia","6.0","D","D","-"
"Canada","17.0","7.0","10.0","-"
"China","33.0","17.0","16.0","-"
"France","6.0","D","D","-"
"Germany","7.0","D","D","-"
"India","27.0","16.0","11.0","-"
"Iran","5.0","D","D","-"
"Korea","7.0","3.0","4.0","-"
"Mexico","57.0","34.0","23.0","-"
"Netherlands","6.0","D","D","-"
"Pakistan","5.0","D","D","-"
"Peru","11.0","5.0","6.0","-"
"Philippines","5.0","D","D","-"
"Russia","13.0","6.0","7.0","-"
"South Africa","11.0","6.0","5.0","-"
"Soviet Union (former)","6.0","D","D","-"
"United Kingdom","21.0","11.0","10.0","-"
"Vietnam","11.0","8.0","3.0","-"
"Other","105.0","47.0","58.0","-"
"Unknown","1.0","1.0","-","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
