"Persons Naturalized During Fiscal Year 2005","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Bowling Green, KY","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","240.0","115.0","125.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","29.0","15.0","14.0","-"
"25-34 years","65.0","30.0","35.0","-"
"35-44 years","60.0","30.0","30.0","-"
"45-54 years","48.0","24.0","24.0","-"
"55-64 years","20.0","8.0","12.0","-"
"65 years and over","18.0","8.0","10.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","46.0","28.0","18.0","-"
"Married","175.0","81.0","94.0","-"
"Other","19.0","6.0","13.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","5.0","D","D","-"
"Professional and technical","10.0","3.0","7.0","-"
"Sales","D","-","D","-"
"Administrative support","D","-","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","19.0","9.0","10.0","-"
"Precision production, craft, repair","3.0","3.0","-","-"
"Service","4.0","D","D","-"
"Military","D","D","-","-"
"No occupation","29.0","10.0","19.0","-"
"Unknown","165.0","86.0","79.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Azerbaijan","6.0","D","D","-"
"Bosnia and Herzegovina","122.0","64.0","58.0","-"
"Cambodia","7.0","D","D","-"
"Canada","9.0","4.0","5.0","-"
"China","D","-","D","-"
"Colombia","D","-","D","-"
"Croatia","D","-","D","-"
"Ecuador","D","-","D","-"
"El Salvador","6.0","3.0","3.0","-"
"Germany","D","-","D","-"
"India","8.0","4.0","4.0","-"
"Iran","D","-","D","-"
"Iraq","D","D","-","-"
"Mexico","6.0","D","D","-"
"Nepal","D","D","D","-"
"Peru","D","-","D","-"
"Philippines","D","D","D","-"
"Serbia and Montenegro","23.0","11.0","12.0","-"
"Ukraine","6.0","3.0","3.0","-"
"Vietnam","19.0","11.0","8.0","-"
"Other","9.0","4.0","5.0","-"
"Unknown","1.0","-","1.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
