"Persons Naturalized During Fiscal Year 2005","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Burlington-South Burlington, VT","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","295.0","141.0","154.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","36.0","16.0","20.0","-"
"25-34 years","71.0","32.0","39.0","-"
"35-44 years","82.0","34.0","48.0","-"
"45-54 years","53.0","27.0","26.0","-"
"55-64 years","33.0","20.0","13.0","-"
"65 years and over","20.0","12.0","8.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","55.0","26.0","29.0","-"
"Married","208.0","100.0","108.0","-"
"Other","32.0","15.0","17.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","4.0","D","D","-"
"Professional and technical","10.0","5.0","5.0","-"
"Sales","D","-","D","-"
"Administrative support","D","D","-","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","9.0","D","D","-"
"Precision production, craft, repair","D","D","-","-"
"Service","D","D","D","-"
"Military","-","-","-","-"
"No occupation","20.0","5.0","15.0","-"
"Unknown","246.0","119.0","127.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Azerbaijan","D","D","-","-"
"Bosnia and Herzegovina","107.0","52.0","55.0","-"
"Canada","34.0","15.0","19.0","-"
"China","18.0","8.0","10.0","-"
"Croatia","5.0","D","D","-"
"France","D","D","D","-"
"Germany","5.0","D","D","-"
"India","9.0","4.0","5.0","-"
"Korea","4.0","D","D","-"
"Netherlands","3.0","D","D","-"
"Pakistan","3.0","D","D","-"
"Poland","3.0","D","D","-"
"Romania","5.0","D","D","-"
"Russia","3.0","D","D","-"
"Serbia and Montenegro","9.0","3.0","6.0","-"
"Soviet Union (former)","4.0","D","D","-"
"Ukraine","3.0","D","D","-"
"United Kingdom","9.0","D","D","-"
"Venezuela","3.0","D","D","-"
"Vietnam","24.0","13.0","11.0","-"
"Other","39.0","18.0","21.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
