"Persons Naturalized During Fiscal Year 2005","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Canton-Massillon, OH","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","148.0","69.0","79.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","12.0","8.0","4.0","-"
"25-34 years","34.0","11.0","23.0","-"
"35-44 years","50.0","26.0","24.0","-"
"45-54 years","26.0","13.0","13.0","-"
"55-64 years","10.0","4.0","6.0","-"
"65 years and over","16.0","7.0","9.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","24.0","11.0","13.0","-"
"Married","115.0","55.0","60.0","-"
"Other","9.0","3.0","6.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","11.0","6.0","5.0","-"
"Professional and technical","16.0","10.0","6.0","-"
"Sales","4.0","D","D","-"
"Administrative support","D","D","-","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","6.0","D","D","-"
"Precision production, craft, repair","D","D","D","-"
"Service","7.0","D","D","-"
"Military","-","-","-","-"
"No occupation","15.0","6.0","9.0","-"
"Unknown","86.0","37.0","49.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Canada","6.0","D","D","-"
"China","9.0","6.0","3.0","-"
"Colombia","D","D","D","-"
"Croatia","3.0","-","3.0","-"
"Egypt","5.0","D","D","-"
"Greece","3.0","D","D","-"
"India","23.0","14.0","9.0","-"
"Iran","D","-","D","-"
"Korea","3.0","D","D","-"
"Lebanon","3.0","D","D","-"
"Macedonia","4.0","D","D","-"
"Nigeria","3.0","D","D","-"
"Pakistan","4.0","D","D","-"
"Philippines","3.0","D","D","-"
"Romania","18.0","7.0","11.0","-"
"Soviet Union (former)","6.0","3.0","3.0","-"
"Syria","5.0","D","D","-"
"Thailand","3.0","D","D","-"
"Ukraine","4.0","-","4.0","-"
"Vietnam","10.0","4.0","6.0","-"
"Other","28.0","14.0","14.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
