"Persons Naturalized During Fiscal Year 2005","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Carson City, NV","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","79.0","30.0","49.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","8.0","D","D","-"
"25-34 years","29.0","12.0","17.0","-"
"35-44 years","24.0","6.0","18.0","-"
"45-54 years","14.0","D","D","-"
"55-64 years","D","D","D","-"
"65 years and over","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","13.0","3.0","10.0","-"
"Married","58.0","24.0","34.0","-"
"Other","8.0","3.0","5.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","D","D","-","-"
"Professional and technical","D","-","D","-"
"Sales","5.0","D","D","-"
"Administrative support","D","D","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","13.0","7.0","6.0","-"
"Precision production, craft, repair","4.0","D","D","-"
"Service","11.0","6.0","5.0","-"
"Military","-","-","-","-"
"No occupation","14.0","D","D","-"
"Unknown","27.0","9.0","18.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Colombia","D","-","D","-"
"Cote d'Ivoire","D","D","-","-"
"El Salvador","4.0","D","D","-"
"France","D","D","-","-"
"Honduras","D","-","D","-"
"India","D","D","-","-"
"Lithuania","D","-","D","-"
"Mexico","44.0","18.0","26.0","-"
"New Zealand","D","-","D","-"
"Nicaragua","8.0","D","D","-"
"Peru","D","-","D","-"
"Philippines","7.0","3.0","4.0","-"
"Spain","D","D","-","-"
"Thailand","D","-","D","-"
"Vietnam","D","D","D","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
