"Persons Naturalized During Fiscal Year 2005","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: East Stroudsburg, PA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","246.0","101.0","145.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","17.0","6.0","11.0","-"
"25-34 years","54.0","18.0","36.0","-"
"35-44 years","96.0","40.0","56.0","-"
"45-54 years","53.0","27.0","26.0","-"
"55-64 years","18.0","7.0","11.0","-"
"65 years and over","8.0","3.0","5.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","36.0","16.0","20.0","-"
"Married","183.0","74.0","109.0","-"
"Other","27.0","11.0","16.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","21.0","13.0","8.0","-"
"Professional and technical","18.0","5.0","13.0","-"
"Sales","8.0","D","D","-"
"Administrative support","D","D","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","17.0","12.0","5.0","-"
"Precision production, craft, repair","D","D","-","-"
"Service","14.0","5.0","9.0","-"
"Military","-","-","-","-"
"No occupation","26.0","7.0","19.0","-"
"Unknown","134.0","54.0","80.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Barbados","5.0","D","D","-"
"Bulgaria","13.0","8.0","5.0","-"
"China","6.0","D","D","-"
"Colombia","14.0","6.0","8.0","-"
"Dominican Republic","13.0","6.0","7.0","-"
"Ecuador","6.0","3.0","3.0","-"
"Guyana","12.0","3.0","9.0","-"
"Haiti","4.0","D","D","-"
"India","10.0","6.0","4.0","-"
"Jamaica","23.0","11.0","12.0","-"
"Korea","4.0","D","D","-"
"Malaysia","4.0","D","D","-"
"Nigeria","6.0","D","D","-"
"Peru","8.0","D","D","-"
"Philippines","16.0","5.0","11.0","-"
"Poland","14.0","4.0","10.0","-"
"Romania","4.0","D","D","-"
"Russia","4.0","D","D","-"
"Trinidad and Tobago","9.0","D","D","-"
"United Kingdom","5.0","D","D","-"
"Other","66.0","29.0","37.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
