"Persons Naturalized During Fiscal Year 2005","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Eureka-Arcata-Fortuna, CA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","67.0","31.0","36.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","D","4.0","D","-"
"25-34 years","18.0","10.0","8.0","-"
"35-44 years","18.0","8.0","10.0","-"
"45-54 years","10.0","5.0","5.0","-"
"55-64 years","11.0","4.0","7.0","-"
"65 years and over","D","-","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","13.0","10.0","3.0","-"
"Married","44.0","18.0","26.0","-"
"Other","10.0","3.0","7.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","-","-","-","-"
"Professional and technical","D","-","D","-"
"Sales","D","-","D","-"
"Administrative support","D","D","-","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","D","D","-","-"
"Precision production, craft, repair","-","-","-","-"
"Service","4.0","D","D","-"
"Military","-","-","-","-"
"No occupation","9.0","4.0","5.0","-"
"Unknown","48.0","21.0","27.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Australia","D","-","D","-"
"Brazil","D","-","D","-"
"Cambodia","3.0","D","D","-"
"Canada","D","D","-","-"
"Chile","D","-","D","-"
"China","3.0","D","D","-"
"Costa Rica","D","-","D","-"
"Dominican Republic","D","D","-","-"
"Finland","D","-","D","-"
"Germany","3.0","D","D","-"
"Israel","D","D","-","-"
"Japan","D","D","-","-"
"Jordan","D","-","D","-"
"Kazakhstan","D","D","-","-"
"Korea","D","-","D","-"
"Laos","11.0","5.0","6.0","-"
"Mexico","19.0","10.0","9.0","-"
"Netherlands","D","-","D","-"
"Philippines","D","-","D","-"
"Thailand","5.0","D","D","-"
"Other","8.0","4.0","4.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
