"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Hagerstown-Martinsburg, MD-WV","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","129.0","57.0","72.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","9.0","D","D","-"
"25 to 34 years","45.0","19.0","26.0","-"
"35 to 44 years","36.0","22.0","14.0","-"
"45 to 54 years","27.0","8.0","19.0","-"
"55 to 64 years","9.0","D","D","-"
"65 years and over","3.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","27.0","14.0","13.0","-"
"Married","89.0","36.0","53.0","-"
"Other","13.0","7.0","6.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","9.0","D","D","-"
"Service occupations","-","-","-","-"
"Sales and office occupations","-","-","-","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","D","D","-","-"
"Military","-","-","-","-"
"No occupation/not working outside home","6.0","D","D","-"
"Homemakers","-","-","-","-"
"Students or children","6.0","3.0","3.0","-"
"Retirees","-","-","-","-"
"Unemployed","-","-","-","-"
"Unknown","111.0","44.0","67.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Albania","D","D","D","-"
"Cameroon","D","D","D","-"
"Canada","4.0","4.0","-","-"
"China","3.0","D","D","-"
"Colombia","3.0","D","D","-"
"Dominican Republic","D","D","D","-"
"El Salvador","D","D","-","-"
"Ghana","6.0","D","D","-"
"Greece","D","D","-","-"
"Guyana","5.0","-","5.0","-"
"Hungary","4.0","-","4.0","-"
"India","6.0","D","D","-"
"Jamaica","9.0","5.0","4.0","-"
"Korea","6.0","D","D","-"
"Mexico","5.0","D","D","-"
"Pakistan","4.0","D","D","-"
"Peru","3.0","D","D","-"
"Philippines","12.0","3.0","9.0","-"
"Romania","5.0","D","D","-"
"Vietnam","9.0","4.0","5.0","-"
"Other","35.0","16.0","19.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
