"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Kalamazoo-Portage, MI","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","125.0","63.0","62.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","9.0","3.0","6.0","-"
"25 to 34 years","30.0","10.0","20.0","-"
"35 to 44 years","41.0","28.0","13.0","-"
"45 to 54 years","19.0","11.0","8.0","-"
"55 to 64 years","14.0","5.0","9.0","-"
"65 years and over","12.0","6.0","6.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","13.0","8.0","5.0","-"
"Married","99.0","49.0","50.0","-"
"Other","13.0","6.0","7.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","27.0","17.0","10.0","-"
"Service occupations","D","D","D","-"
"Sales and office occupations","10.0","6.0","4.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","9.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","20.0","4.0","16.0","-"
"Homemakers","10.0","-","10.0","-"
"Students or children","D","D","3.0","-"
"Retirees","D","D","D","-"
"Unemployed","4.0","D","D","-"
"Unknown","50.0","24.0","26.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bangladesh","D","D","D","-"
"Brazil","D","D","D","-"
"Canada","9.0","6.0","3.0","-"
"Egypt","D","D","-","-"
"France","D","D","-","-"
"Germany","8.0","5.0","3.0","-"
"India","20.0","10.0","10.0","-"
"Japan","4.0","D","D","-"
"Korea","D","-","D","-"
"Lebanon","D","D","D","-"
"Mexico","10.0","7.0","3.0","-"
"Netherlands","3.0","D","D","-"
"Nigeria","5.0","D","D","-"
"Panama","D","D","-","-"
"Peru","D","D","D","-"
"Philippines","5.0","D","D","-"
"Russia","D","-","D","-"
"Saudi Arabia","D","D","D","-"
"Serbia and Montenegro","D","D","D","-"
"Sudan","4.0","D","D","-"
"Other","35.0","13.0","22.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
