"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Laconia, NH","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","83.0","38.0","45.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","D","D","-","-"
"25 to 34 years","30.0","14.0","16.0","-"
"35 to 44 years","24.0","11.0","13.0","-"
"45 to 54 years","14.0","6.0","8.0","-"
"55 to 64 years","6.0","D","D","-"
"65 years and over","D","-","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","15.0","D","D","-"
"Married","62.0","26.0","36.0","-"
"Other","6.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","4.0","D","D","-"
"Service occupations","-","-","-","-"
"Sales and office occupations","-","-","-","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","9.0","5.0","4.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","7.0","D","D","-"
"Homemakers","-","-","-","-"
"Students or children","D","4.0","D","-"
"Retirees","D","-","D","-"
"Unemployed","-","-","-","-"
"Unknown","63.0","28.0","35.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Australia","D","D","-","-"
"Bosnia and Herzegovina","17.0","8.0","9.0","-"
"Canada","4.0","-","4.0","-"
"China","3.0","3.0","-","-"
"Colombia","D","D","-","-"
"Croatia","10.0","5.0","5.0","-"
"Egypt","D","D","-","-"
"Ethiopia","D","D","-","-"
"Germany","D","-","D","-"
"Italy","D","D","-","-"
"Korea","3.0","D","D","-"
"Laos","5.0","D","D","-"
"Mexico","D","-","D","-"
"Netherlands","D","D","D","-"
"Philippines","4.0","D","D","-"
"Serbia and Montenegro","9.0","4.0","5.0","-"
"Sweden","D","D","D","-"
"Thailand","D","-","D","-"
"United Kingdom","5.0","D","D","-"
"Venezuela","3.0","D","D","-"
"Other","6.0","2.0","4.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
