"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Lancaster, PA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","422.0","202.0","220.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","39.0","17.0","22.0","-"
"25 to 34 years","127.0","62.0","65.0","-"
"35 to 44 years","131.0","64.0","67.0","-"
"45 to 54 years","69.0","35.0","34.0","-"
"55 to 64 years","28.0","13.0","15.0","-"
"65 years and over","28.0","11.0","17.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","107.0","64.0","43.0","-"
"Married","277.0","124.0","153.0","-"
"Other","38.0","14.0","24.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","24.0","11.0","13.0","-"
"Service occupations","7.0","D","D","-"
"Sales and office occupations","3.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","32.0","14.0","18.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","45.0","21.0","24.0","-"
"Homemakers","D","-","D","-"
"Students or children","25.0","11.0","14.0","-"
"Retirees","D","D","D","-"
"Unemployed","16.0","D","D","-"
"Unknown","311.0","151.0","160.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bosnia and Herzegovina","37.0","18.0","19.0","-"
"Cambodia","19.0","7.0","12.0","-"
"China","10.0","5.0","5.0","-"
"Colombia","19.0","7.0","12.0","-"
"Cuba","10.0","6.0","4.0","-"
"Dominican Republic","17.0","8.0","9.0","-"
"Egypt","18.0","D","D","-"
"Ethiopia","8.0","3.0","5.0","-"
"Haiti","13.0","5.0","8.0","-"
"India","22.0","10.0","12.0","-"
"Italy","9.0","4.0","5.0","-"
"Mexico","11.0","6.0","5.0","-"
"Philippines","11.0","D","D","-"
"Romania","8.0","D","D","-"
"Russia","13.0","6.0","7.0","-"
"Serbia and Montenegro","7.0","3.0","4.0","-"
"Thailand","7.0","D","D","-"
"Ukraine","7.0","3.0","4.0","-"
"United Kingdom","10.0","6.0","4.0","-"
"Vietnam","65.0","27.0","38.0","-"
"Other","101.0","54.0","47.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
