"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Lexington-Fayette, KY","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","346.0","167.0","179.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","36.0","15.0","21.0","-"
"25 to 34 years","98.0","49.0","49.0","-"
"35 to 44 years","109.0","49.0","60.0","-"
"45 to 54 years","58.0","33.0","25.0","-"
"55 to 64 years","32.0","15.0","17.0","-"
"65 years and over","13.0","6.0","7.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","64.0","36.0","28.0","-"
"Married","249.0","121.0","128.0","-"
"Other","33.0","10.0","23.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","42.0","24.0","18.0","-"
"Service occupations","3.0","D","D","-"
"Sales and office occupations","10.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","4.0","4.0","-","-"
"Production, transportation, and material moving occupations","11.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","44.0","16.0","28.0","-"
"Homemakers","D","-","D","-"
"Students or children","37.0","D","D","-"
"Retirees","D","D","-","-"
"Unemployed","D","-","D","-"
"Unknown","232.0","110.0","122.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bosnia and Herzegovina","17.0","10.0","7.0","-"
"Brazil","7.0","D","D","-"
"Bulgaria","13.0","6.0","7.0","-"
"Cambodia","5.0","D","D","-"
"Canada","20.0","8.0","12.0","-"
"China","17.0","7.0","10.0","-"
"Croatia","7.0","3.0","4.0","-"
"Egypt","6.0","D","D","-"
"Germany","5.0","D","D","-"
"India","30.0","16.0","14.0","-"
"Iran","15.0","9.0","6.0","-"
"Ireland","7.0","4.0","3.0","-"
"Jordan","12.0","6.0","6.0","-"
"Korea","10.0","6.0","4.0","-"
"Mexico","27.0","12.0","15.0","-"
"Philippines","7.0","D","D","-"
"Russia","5.0","D","D","-"
"Ukraine","6.0","3.0","3.0","-"
"United Kingdom","9.0","3.0","6.0","-"
"Vietnam","11.0","4.0","7.0","-"
"Other","108.0","55.0","53.0","-"
"Unknown","2.0","2.0","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
