"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Los Angeles-Long Beach-Santa Ana, CA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","65813.0","29046.0","36767.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","5706.0","2606.0","3100.0","-"
"25 to 34 years","15527.0","6502.0","9025.0","-"
"35 to 44 years","17623.0","8013.0","9610.0","-"
"45 to 54 years","10667.0","4659.0","6008.0","-"
"55 to 64 years","8621.0","3927.0","4694.0","-"
"65 years and over","7669.0","3339.0","4330.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","15064.0","7446.0","7618.0","-"
"Married","43013.0","19272.0","23741.0","-"
"Other","7736.0","2328.0","5408.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","5555.0","2739.0","2816.0","-"
"Service occupations","2416.0","908.0","1508.0","-"
"Sales and office occupations","3621.0","1133.0","2488.0","-"
"Farming, fishing, and forestry occupations","28.0","D","D","-"
"Construction, extraction, maintenance and repair occupations","671.0","D","D","-"
"Production, transportation, and material moving occupations","2521.0","1778.0","743.0","-"
"Military","299.0","260.0","39.0","-"
"No occupation/not working outside home","8557.0","3156.0","5401.0","-"
"Homemakers","1120.0","22.0","1098.0","-"
"Students or children","5205.0","2048.0","3157.0","-"
"Retirees","995.0","598.0","397.0","-"
"Unemployed","1237.0","488.0","749.0","-"
"Unknown","42145.0","18377.0","23768.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Armenia","1113.0","476.0","637.0","-"
"Cambodia","768.0","314.0","454.0","-"
"Canada","484.0","204.0","280.0","-"
"China","3622.0","1399.0","2223.0","-"
"El Salvador","3895.0","1662.0","2233.0","-"
"Guatemala","1878.0","811.0","1067.0","-"
"Hong Kong","615.0","270.0","345.0","-"
"India","1622.0","803.0","819.0","-"
"Iran","4084.0","1923.0","2161.0","-"
"Korea","4249.0","1809.0","2440.0","-"
"Lebanon","498.0","230.0","268.0","-"
"Mexico","15380.0","7512.0","7868.0","-"
"Nicaragua","739.0","317.0","422.0","-"
"Peru","697.0","285.0","412.0","-"
"Philippines","6115.0","2386.0","3729.0","-"
"Russia","547.0","165.0","382.0","-"
"Taiwan","2268.0","974.0","1294.0","-"
"Thailand","643.0","242.0","401.0","-"
"United Kingdom","581.0","313.0","268.0","-"
"Vietnam","4520.0","1778.0","2742.0","-"
"Other","11482.0","5167.0","6315.0","-"
"Unknown","13.0","6.0","7.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
