"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Medford, OR","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","109.0","48.0","61.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","7.0","D","D","-"
"25 to 34 years","37.0","15.0","22.0","-"
"35 to 44 years","31.0","13.0","18.0","-"
"45 to 54 years","16.0","7.0","9.0","-"
"55 to 64 years","13.0","7.0","6.0","-"
"65 years and over","5.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","12.0","4.0","8.0","-"
"Married","88.0","40.0","48.0","-"
"Other","9.0","4.0","5.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","5.0","D","D","-"
"Service occupations","4.0","D","D","-"
"Sales and office occupations","3.0","-","3.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","3.0","3.0","-","-"
"Production, transportation, and material moving occupations","7.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","12.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","7.0","D","D","-"
"Retirees","D","-","D","-"
"Unemployed","D","-","D","-"
"Unknown","75.0","32.0","43.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Australia","D","-","D","-"
"Belize","D","-","D","-"
"Brazil","D","-","D","-"
"Bulgaria","D","-","D","-"
"Canada","10.0","6.0","4.0","-"
"China","4.0","D","D","-"
"Denmark","D","-","D","-"
"Fiji","D","D","-","-"
"France","D","-","D","-"
"Guatemala","D","D","D","-"
"Hong Kong","D","D","D","-"
"India","4.0","D","D","-"
"Mexico","51.0","26.0","25.0","-"
"Philippines","9.0","D","D","-"
"Samoa","3.0","D","D","-"
"Spain","D","D","D","-"
"Thailand","D","-","D","-"
"Ukraine","3.0","D","D","-"
"United Kingdom","3.0","3.0","-","-"
"Vietnam","D","-","D","-"
"Other","4.0","2.0","2.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
