"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Midland, TX","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","53.0","22.0","31.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","D","-","D","-"
"25 to 34 years","22.0","9.0","13.0","-"
"35 to 44 years","16.0","8.0","8.0","-"
"45 to 54 years","8.0","D","D","-"
"55 to 64 years","D","D","D","-"
"65 years and over","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","7.0","D","D","-"
"Married","42.0","17.0","25.0","-"
"Other","4.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","9.0","D","D","-"
"Service occupations","D","D","-","-"
"Sales and office occupations","-","-","-","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","D","D","-","-"
"Military","-","-","-","-"
"No occupation/not working outside home","D","-","D","-"
"Homemakers","-","-","-","-"
"Students or children","D","-","D","-"
"Retirees","-","-","-","-"
"Unemployed","-","-","-","-"
"Unknown","39.0","15.0","24.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Canada","3.0","D","D","-"
"Colombia","D","-","D","-"
"El Salvador","D","D","-","-"
"India","D","-","D","-"
"Ireland","D","D","-","-"
"Korea","D","D","D","-"
"Laos","D","-","D","-"
"Mexico","29.0","12.0","17.0","-"
"Papua New Guinea","D","-","D","-"
"Philippines","8.0","D","D","-"
"Poland","D","-","D","-"
"Taiwan","D","-","D","-"
"Turkey","D","D","-","-"
"Uganda","D","D","-","-"
"Vietnam","D","-","D","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
