"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Orlando-Kissimmee, FL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","9247.0","4112.0","5135.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","849.0","380.0","469.0","-"
"25 to 34 years","2490.0","1018.0","1472.0","-"
"35 to 44 years","2717.0","1236.0","1481.0","-"
"45 to 54 years","1705.0","765.0","940.0","-"
"55 to 64 years","943.0","472.0","471.0","-"
"65 years and over","543.0","241.0","302.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","1933.0","945.0","988.0","-"
"Married","6076.0","2712.0","3364.0","-"
"Other","1238.0","455.0","783.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","901.0","406.0","495.0","-"
"Service occupations","318.0","121.0","197.0","-"
"Sales and office occupations","394.0","132.0","262.0","-"
"Farming, fishing, and forestry occupations","3.0","3.0","-","-"
"Construction, extraction, maintenance and repair occupations","80.0","D","D","-"
"Production, transportation, and material moving occupations","227.0","171.0","56.0","-"
"Military","29.0","D","D","-"
"No occupation/not working outside home","984.0","326.0","658.0","-"
"Homemakers","182.0","D","D","-"
"Students or children","648.0","247.0","401.0","-"
"Retirees","98.0","53.0","45.0","-"
"Unemployed","56.0","D","D","-"
"Unknown","6311.0","2851.0","3460.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bosnia and Herzegovina","139.0","71.0","68.0","-"
"Brazil","298.0","117.0","181.0","-"
"Canada","162.0","75.0","87.0","-"
"China","154.0","69.0","85.0","-"
"Colombia","726.0","279.0","447.0","-"
"Cuba","313.0","142.0","171.0","-"
"Dominican Republic","418.0","193.0","225.0","-"
"Ecuador","184.0","86.0","98.0","-"
"Guyana","342.0","150.0","192.0","-"
"Haiti","830.0","404.0","426.0","-"
"India","430.0","215.0","215.0","-"
"Jamaica","541.0","221.0","320.0","-"
"Mexico","253.0","121.0","132.0","-"
"Morocco","235.0","133.0","102.0","-"
"Peru","204.0","72.0","132.0","-"
"Philippines","395.0","151.0","244.0","-"
"Trinidad and Tobago","273.0","115.0","158.0","-"
"United Kingdom","226.0","103.0","123.0","-"
"Venezuela","246.0","102.0","144.0","-"
"Vietnam","389.0","147.0","242.0","-"
"Other","2458.0","1138.0","1320.0","-"
"Unknown","31.0","8.0","23.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
