"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Provo-Orem, UT","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","376.0","169.0","207.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","41.0","18.0","23.0","-"
"25 to 34 years","136.0","63.0","73.0","-"
"35 to 44 years","92.0","40.0","52.0","-"
"45 to 54 years","48.0","19.0","29.0","-"
"55 to 64 years","27.0","14.0","13.0","-"
"65 years and over","32.0","15.0","17.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","59.0","31.0","28.0","-"
"Married","282.0","131.0","151.0","-"
"Other","35.0","7.0","28.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","39.0","26.0","13.0","-"
"Service occupations","9.0","D","D","-"
"Sales and office occupations","19.0","4.0","15.0","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","15.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","42.0","18.0","24.0","-"
"Homemakers","8.0","-","8.0","-"
"Students or children","28.0","D","D","-"
"Retirees","D","D","D","-"
"Unemployed","D","-","D","-"
"Unknown","248.0","105.0","143.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Argentina","13.0","5.0","8.0","-"
"Australia","6.0","D","D","-"
"Bangladesh","4.0","D","D","-"
"Brazil","6.0","D","D","-"
"Canada","23.0","12.0","11.0","-"
"Chile","8.0","D","D","-"
"China","8.0","4.0","4.0","-"
"Colombia","8.0","4.0","4.0","-"
"Dominican Republic","7.0","D","D","-"
"Ecuador","15.0","4.0","11.0","-"
"El Salvador","10.0","D","D","-"
"Guatemala","9.0","4.0","5.0","-"
"Korea","5.0","D","D","-"
"Mexico","104.0","49.0","55.0","-"
"Peru","15.0","10.0","5.0","-"
"Russia","6.0","D","D","-"
"Samoa","5.0","D","D","-"
"South Africa","9.0","5.0","4.0","-"
"United Kingdom","6.0","D","D","-"
"Vietnam","5.0","D","D","-"
"Other","103.0","44.0","59.0","-"
"Unknown","1.0","1.0","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
