"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Racine, WI","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","112.0","48.0","64.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","D","D","D","-"
"25 to 34 years","30.0","11.0","19.0","-"
"35 to 44 years","29.0","12.0","17.0","-"
"45 to 54 years","25.0","D","D","-"
"55 to 64 years","20.0","13.0","7.0","-"
"65 years and over","D","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","17.0","7.0","10.0","-"
"Married","79.0","35.0","44.0","-"
"Other","16.0","6.0","10.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","13.0","6.0","7.0","-"
"Service occupations","D","-","D","-"
"Sales and office occupations","5.0","-","5.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","9.0","3.0","6.0","-"
"Military","D","D","D","-"
"No occupation/not working outside home","4.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","D","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","D","-","D","-"
"Unknown","75.0","35.0","40.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Albania","3.0","D","D","-"
"Antigua and Barbuda","D","-","D","-"
"Bosnia and Herzegovina","D","D","-","-"
"Bulgaria","4.0","D","D","-"
"Canada","6.0","3.0","3.0","-"
"China","5.0","D","D","-"
"Croatia","6.0","D","D","-"
"Estonia","D","-","D","-"
"Ethiopia","D","-","D","-"
"France","D","-","D","-"
"Germany","D","-","D","-"
"Ghana","D","D","-","-"
"Guatemala","D","D","-","-"
"India","15.0","4.0","11.0","-"
"Mexico","26.0","14.0","12.0","-"
"Philippines","5.0","-","5.0","-"
"Poland","6.0","3.0","3.0","-"
"Romania","D","-","D","-"
"Serbia and Montenegro","3.0","D","D","-"
"United Kingdom","7.0","D","D","-"
"Other","13.0","8.0","5.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
