"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Raleigh-Cary, NC","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","2774.0","1334.0","1440.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","266.0","135.0","131.0","-"
"25 to 34 years","702.0","275.0","427.0","-"
"35 to 44 years","1036.0","506.0","530.0","-"
"45 to 54 years","471.0","255.0","216.0","-"
"55 to 64 years","205.0","115.0","90.0","-"
"65 years and over","94.0","48.0","46.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","490.0","279.0","211.0","-"
"Married","2109.0","981.0","1128.0","-"
"Other","175.0","74.0","101.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","736.0","393.0","343.0","-"
"Service occupations","175.0","65.0","110.0","-"
"Sales and office occupations","193.0","71.0","122.0","-"
"Farming, fishing, and forestry occupations","D","D","D","-"
"Construction, extraction, maintenance and repair occupations","31.0","D","D","-"
"Production, transportation, and material moving occupations","175.0","D","D","-"
"Military","D","D","D","-"
"No occupation/not working outside home","518.0","163.0","355.0","-"
"Homemakers","145.0","D","D","-"
"Students or children","249.0","111.0","138.0","-"
"Retirees","47.0","27.0","20.0","-"
"Unemployed","77.0","D","D","-"
"Unknown","941.0","479.0","462.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Canada","113.0","49.0","64.0","-"
"China","131.0","58.0","73.0","-"
"Colombia","37.0","13.0","24.0","-"
"Dominican Republic","44.0","25.0","19.0","-"
"Egypt","34.0","21.0","13.0","-"
"El Salvador","29.0","11.0","18.0","-"
"Ethiopia","29.0","13.0","16.0","-"
"India","473.0","232.0","241.0","-"
"Iran","54.0","23.0","31.0","-"
"Kenya","32.0","16.0","16.0","-"
"Korea","70.0","33.0","37.0","-"
"Mexico","146.0","72.0","74.0","-"
"Morocco","79.0","61.0","18.0","-"
"Nigeria","123.0","64.0","59.0","-"
"Pakistan","54.0","27.0","27.0","-"
"Philippines","122.0","46.0","76.0","-"
"Russia","37.0","9.0","28.0","-"
"Taiwan","48.0","22.0","26.0","-"
"United Kingdom","74.0","44.0","30.0","-"
"Vietnam","122.0","53.0","69.0","-"
"Other","918.0","440.0","478.0","-"
"Unknown","5.0","2.0","3.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
