"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Saint George, UT","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","64.0","28.0","36.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","D","D","-","-"
"25 to 34 years","16.0","5.0","11.0","-"
"35 to 44 years","19.0","8.0","11.0","-"
"45 to 54 years","15.0","6.0","9.0","-"
"55 to 64 years","D","D","D","-"
"65 years and over","6.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","5.0","D","D","-"
"Married","53.0","22.0","31.0","-"
"Other","6.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","6.0","D","D","-"
"Service occupations","6.0","D","D","-"
"Sales and office occupations","-","-","-","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","4.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","3.0","D","D","-"
"Homemakers","-","-","-","-"
"Students or children","D","D","-","-"
"Retirees","D","D","D","-"
"Unemployed","-","-","-","-"
"Unknown","45.0","21.0","24.0","-"
"","","","",""
"Leading countries of birth","","","",""
"American Samoa","D","-","D","-"
"Argentina","D","D","-","-"
"Brazil","D","-","D","-"
"Cambodia","D","D","-","-"
"Canada","6.0","D","D","-"
"China","8.0","5.0","3.0","-"
"Colombia","D","D","-","-"
"Ecuador","D","D","D","-"
"El Salvador","6.0","3.0","3.0","-"
"Germany","D","D","D","-"
"India","D","-","D","-"
"Indonesia","D","-","D","-"
"Italy","D","-","D","-"
"Japan","D","-","D","-"
"Mexico","23.0","10.0","13.0","-"
"Philippines","3.0","D","D","-"
"Thailand","D","-","D","-"
"Ukraine","D","-","D","-"
"United Kingdom","D","D","D","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
