"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Salisbury, MD","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","110.0","56.0","54.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","15.0","8.0","7.0","-"
"25 to 34 years","24.0","7.0","17.0","-"
"35 to 44 years","26.0","18.0","8.0","-"
"45 to 54 years","22.0","8.0","14.0","-"
"55 to 64 years","17.0","12.0","5.0","-"
"65 years and over","6.0","3.0","3.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","30.0","D","D","-"
"Married","76.0","37.0","39.0","-"
"Other","4.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","8.0","D","D","-"
"Service occupations","-","-","-","-"
"Sales and office occupations","-","-","-","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","D","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","8.0","D","D","-"
"Homemakers","-","-","-","-"
"Students or children","D","D","6.0","-"
"Retirees","-","-","-","-"
"Unemployed","D","D","-","-"
"Unknown","90.0","45.0","45.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Argentina","D","D","-","-"
"Cameroon","D","-","D","-"
"Canada","D","-","D","-"
"China","7.0","4.0","3.0","-"
"Colombia","D","D","-","-"
"Dominican Republic","3.0","D","D","-"
"Ecuador","D","D","D","-"
"Ethiopia","D","-","D","-"
"France","D","-","D","-"
"Ghana","D","D","D","-"
"Haiti","12.0","D","D","-"
"India","15.0","7.0","8.0","-"
"Iran","4.0","D","D","-"
"Korea","22.0","11.0","11.0","-"
"Mexico","4.0","D","D","-"
"Nigeria","3.0","D","D","-"
"Pakistan","8.0","3.0","5.0","-"
"Peru","D","-","D","-"
"Sudan","3.0","D","D","-"
"Sweden","D","D","-","-"
"Other","14.0","5.0","9.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
