"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: San Diego-Carlsbad-San Marcos, CA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","12681.0","5732.0","6949.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","1503.0","783.0","720.0","-"
"25 to 34 years","3351.0","1417.0","1934.0","-"
"35 to 44 years","3559.0","1625.0","1934.0","-"
"45 to 54 years","1779.0","777.0","1002.0","-"
"55 to 64 years","1292.0","605.0","687.0","-"
"65 years and over","1197.0","525.0","672.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","2935.0","1554.0","1381.0","-"
"Married","8362.0","3758.0","4604.0","-"
"Other","1384.0","420.0","964.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","1108.0","596.0","512.0","-"
"Service occupations","418.0","167.0","251.0","-"
"Sales and office occupations","523.0","145.0","378.0","-"
"Farming, fishing, and forestry occupations","11.0","D","D","-"
"Construction, extraction, maintenance and repair occupations","114.0","D","D","-"
"Production, transportation, and material moving occupations","382.0","254.0","128.0","-"
"Military","610.0","500.0","110.0","-"
"No occupation/not working outside home","1409.0","453.0","956.0","-"
"Homemakers","209.0","3.0","206.0","-"
"Students or children","929.0","306.0","623.0","-"
"Retirees","118.0","87.0","31.0","-"
"Unemployed","153.0","57.0","96.0","-"
"Unknown","8106.0","3497.0","4609.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Afghanistan","87.0","38.0","49.0","-"
"Brazil","99.0","31.0","68.0","-"
"Canada","184.0","93.0","91.0","-"
"China","444.0","179.0","265.0","-"
"Colombia","87.0","41.0","46.0","-"
"Ethiopia","108.0","51.0","57.0","-"
"India","360.0","180.0","180.0","-"
"Iran","375.0","159.0","216.0","-"
"Iraq","485.0","180.0","305.0","-"
"Korea","159.0","75.0","84.0","-"
"Laos","96.0","41.0","55.0","-"
"Mexico","4294.0","2084.0","2210.0","-"
"Peru","94.0","42.0","52.0","-"
"Philippines","2009.0","823.0","1186.0","-"
"Russia","105.0","28.0","77.0","-"
"Serbia and Montenegro","88.0","37.0","51.0","-"
"Somalia","123.0","50.0","73.0","-"
"Taiwan","173.0","77.0","96.0","-"
"United Kingdom","179.0","93.0","86.0","-"
"Vietnam","779.0","295.0","484.0","-"
"Other","2342.0","1132.0","1210.0","-"
"Unknown","11.0","3.0","8.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
