"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: San Luis Obispo-Paso Robles, CA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","303.0","149.0","154.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","48.0","21.0","27.0","-"
"25 to 34 years","66.0","25.0","41.0","-"
"35 to 44 years","91.0","47.0","44.0","-"
"45 to 54 years","43.0","21.0","22.0","-"
"55 to 64 years","29.0","17.0","12.0","-"
"65 years and over","26.0","18.0","8.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","69.0","41.0","28.0","-"
"Married","206.0","100.0","106.0","-"
"Other","28.0","8.0","20.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","29.0","17.0","12.0","-"
"Service occupations","14.0","5.0","9.0","-"
"Sales and office occupations","14.0","5.0","9.0","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","3.0","3.0","-","-"
"Production, transportation, and material moving occupations","25.0","17.0","8.0","-"
"Military","D","D","-","-"
"No occupation/not working outside home","35.0","14.0","21.0","-"
"Homemakers","D","-","D","-"
"Students or children","24.0","9.0","15.0","-"
"Retirees","5.0","5.0","-","-"
"Unemployed","D","-","D","-"
"Unknown","180.0","85.0","95.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Canada","8.0","5.0","3.0","-"
"China","5.0","-","5.0","-"
"Colombia","D","D","D","-"
"Egypt","3.0","D","D","-"
"El Salvador","4.0","D","D","-"
"France","D","D","-","-"
"Germany","3.0","D","D","-"
"Ghana","3.0","D","D","-"
"India","5.0","D","D","-"
"Iran","8.0","5.0","3.0","-"
"Jordan","4.0","D","D","-"
"Kazakhstan","3.0","D","D","-"
"Korea","8.0","3.0","5.0","-"
"Mexico","147.0","78.0","69.0","-"
"Morocco","3.0","3.0","-","-"
"Peru","6.0","D","D","-"
"Philippines","28.0","13.0","15.0","-"
"Russia","4.0","-","4.0","-"
"Thailand","3.0","D","D","-"
"United Kingdom","5.0","D","D","-"
"Other","48.0","23.0","25.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
