"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Santa Rosa-Petaluma, CA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1053.0","498.0","555.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","114.0","38.0","76.0","-"
"25 to 34 years","295.0","113.0","182.0","-"
"35 to 44 years","283.0","136.0","147.0","-"
"45 to 54 years","152.0","77.0","75.0","-"
"55 to 64 years","123.0","85.0","38.0","-"
"65 years and over","86.0","49.0","37.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","184.0","88.0","96.0","-"
"Married","767.0","368.0","399.0","-"
"Other","102.0","42.0","60.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","75.0","40.0","35.0","-"
"Service occupations","42.0","13.0","29.0","-"
"Sales and office occupations","35.0","9.0","26.0","-"
"Farming, fishing, and forestry occupations","12.0","D","D","-"
"Construction, extraction, maintenance and repair occupations","18.0","18.0","-","-"
"Production, transportation, and material moving occupations","43.0","D","D","-"
"Military","3.0","3.0","-","-"
"No occupation/not working outside home","95.0","43.0","52.0","-"
"Homemakers","7.0","-","7.0","-"
"Students or children","58.0","23.0","35.0","-"
"Retirees","21.0","14.0","7.0","-"
"Unemployed","9.0","6.0","3.0","-"
"Unknown","730.0","328.0","402.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Cambodia","32.0","7.0","25.0","-"
"Canada","18.0","11.0","7.0","-"
"China","36.0","10.0","26.0","-"
"Colombia","11.0","D","D","-"
"El Salvador","20.0","11.0","9.0","-"
"Eritrea","10.0","D","D","-"
"France","11.0","8.0","3.0","-"
"Guatemala","14.0","5.0","9.0","-"
"India","37.0","20.0","17.0","-"
"Iran","15.0","6.0","9.0","-"
"Korea","8.0","3.0","5.0","-"
"Laos","11.0","5.0","6.0","-"
"Mexico","525.0","284.0","241.0","-"
"Peru","15.0","7.0","8.0","-"
"Philippines","30.0","11.0","19.0","-"
"Soviet Union (former)","9.0","D","D","-"
"Thailand","13.0","8.0","5.0","-"
"Ukraine","13.0","5.0","8.0","-"
"United Kingdom","25.0","10.0","15.0","-"
"Vietnam","33.0","14.0","19.0","-"
"Other","166.0","69.0","97.0","-"
"Unknown","1.0","-","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
