"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Sarasota-Bradenton-Venice, FL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1047.0","454.0","593.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","90.0","40.0","50.0","-"
"25 to 34 years","221.0","88.0","133.0","-"
"35 to 44 years","331.0","134.0","197.0","-"
"45 to 54 years","209.0","101.0","108.0","-"
"55 to 64 years","111.0","47.0","64.0","-"
"65 years and over","85.0","44.0","41.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","158.0","84.0","74.0","-"
"Married","764.0","331.0","433.0","-"
"Other","125.0","39.0","86.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","117.0","56.0","61.0","-"
"Service occupations","31.0","D","D","-"
"Sales and office occupations","36.0","14.0","22.0","-"
"Farming, fishing, and forestry occupations","D","-","D","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","33.0","D","D","-"
"Military","D","D","-","-"
"No occupation/not working outside home","119.0","38.0","81.0","-"
"Homemakers","35.0","D","D","-"
"Students or children","54.0","22.0","32.0","-"
"Retirees","27.0","D","D","-"
"Unemployed","3.0","-","3.0","-"
"Unknown","689.0","299.0","390.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Brazil","17.0","7.0","10.0","-"
"Canada","70.0","29.0","41.0","-"
"China","14.0","5.0","9.0","-"
"Colombia","52.0","12.0","40.0","-"
"Cuba","55.0","29.0","26.0","-"
"Germany","29.0","15.0","14.0","-"
"Haiti","48.0","18.0","30.0","-"
"Honduras","17.0","8.0","9.0","-"
"India","38.0","17.0","21.0","-"
"Jamaica","18.0","6.0","12.0","-"
"Mexico","98.0","38.0","60.0","-"
"Nicaragua","14.0","10.0","4.0","-"
"Peru","22.0","6.0","16.0","-"
"Philippines","33.0","11.0","22.0","-"
"Poland","31.0","14.0","17.0","-"
"Soviet Union (former)","27.0","13.0","14.0","-"
"Ukraine","30.0","16.0","14.0","-"
"United Kingdom","73.0","37.0","36.0","-"
"Venezuela","17.0","6.0","11.0","-"
"Vietnam","20.0","12.0","8.0","-"
"Other","324.0","145.0","179.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
