"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: South Bend-Mishawaka, IN-MI","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","202.0","98.0","104.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","20.0","14.0","6.0","-"
"25 to 34 years","52.0","23.0","29.0","-"
"35 to 44 years","54.0","22.0","32.0","-"
"45 to 54 years","43.0","21.0","22.0","-"
"55 to 64 years","18.0","9.0","9.0","-"
"65 years and over","15.0","9.0","6.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","36.0","24.0","12.0","-"
"Married","145.0","66.0","79.0","-"
"Other","21.0","8.0","13.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","32.0","12.0","20.0","-"
"Service occupations","4.0","D","D","-"
"Sales and office occupations","5.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","13.0","D","D","-"
"Military","D","D","-","-"
"No occupation/not working outside home","24.0","10.0","14.0","-"
"Homemakers","D","-","D","-"
"Students or children","17.0","D","D","-"
"Retirees","D","-","D","-"
"Unemployed","D","D","D","-"
"Unknown","121.0","57.0","64.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bosnia and Herzegovina","29.0","16.0","13.0","-"
"Brazil","3.0","3.0","-","-"
"Cambodia","3.0","D","D","-"
"Canada","7.0","4.0","3.0","-"
"China","5.0","-","5.0","-"
"Germany","3.0","-","3.0","-"
"Ghana","4.0","D","D","-"
"India","14.0","6.0","8.0","-"
"Iran","4.0","D","D","-"
"Iraq","3.0","D","D","-"
"Jordan","3.0","D","D","-"
"Korea","3.0","-","3.0","-"
"Laos","3.0","D","D","-"
"Lebanon","5.0","D","D","-"
"Mexico","24.0","17.0","7.0","-"
"Philippines","11.0","4.0","7.0","-"
"Romania","4.0","D","D","-"
"Russia","9.0","4.0","5.0","-"
"Thailand","4.0","D","D","-"
"Vietnam","21.0","10.0","11.0","-"
"Other","40.0","14.0","26.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
