"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Tulsa, OK","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","649.0","288.0","361.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","55.0","28.0","27.0","-"
"25 to 34 years","178.0","72.0","106.0","-"
"35 to 44 years","220.0","95.0","125.0","-"
"45 to 54 years","100.0","44.0","56.0","-"
"55 to 64 years","68.0","37.0","31.0","-"
"65 years and over","28.0","12.0","16.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","94.0","52.0","42.0","-"
"Married","488.0","209.0","279.0","-"
"Other","67.0","27.0","40.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","57.0","27.0","30.0","-"
"Service occupations","13.0","6.0","7.0","-"
"Sales and office occupations","13.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","16.0","D","D","-"
"Military","D","D","-","-"
"No occupation/not working outside home","79.0","28.0","51.0","-"
"Homemakers","18.0","-","18.0","-"
"Students or children","45.0","18.0","27.0","-"
"Retirees","4.0","4.0","-","-"
"Unemployed","12.0","6.0","6.0","-"
"Unknown","460.0","200.0","260.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bangladesh","7.0","4.0","3.0","-"
"Brazil","10.0","5.0","5.0","-"
"Canada","14.0","8.0","6.0","-"
"China","14.0","4.0","10.0","-"
"Colombia","14.0","D","D","-"
"Honduras","8.0","3.0","5.0","-"
"India","52.0","24.0","28.0","-"
"Iran","16.0","7.0","9.0","-"
"Korea","13.0","4.0","9.0","-"
"Lebanon","12.0","7.0","5.0","-"
"Mexico","138.0","76.0","62.0","-"
"Nigeria","17.0","10.0","7.0","-"
"Pakistan","18.0","9.0","9.0","-"
"Peru","21.0","4.0","17.0","-"
"Philippines","24.0","4.0","20.0","-"
"Syria","10.0","7.0","3.0","-"
"Ukraine","10.0","D","D","-"
"United Kingdom","14.0","9.0","5.0","-"
"Venezuela","17.0","8.0","9.0","-"
"Vietnam","45.0","20.0","25.0","-"
"Other","174.0","72.0","102.0","-"
"Unknown","1.0","-","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
