"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Vallejo-Fairfield, CA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1272.0","564.0","708.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","144.0","73.0","71.0","-"
"25 to 34 years","371.0","155.0","216.0","-"
"35 to 44 years","313.0","139.0","174.0","-"
"45 to 54 years","196.0","88.0","108.0","-"
"55 to 64 years","136.0","66.0","70.0","-"
"65 years and over","112.0","43.0","69.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","258.0","132.0","126.0","-"
"Married","895.0","402.0","493.0","-"
"Other","119.0","30.0","89.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","100.0","46.0","54.0","-"
"Service occupations","81.0","30.0","51.0","-"
"Sales and office occupations","89.0","28.0","61.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","22.0","22.0","-","-"
"Production, transportation, and material moving occupations","80.0","61.0","19.0","-"
"Military","24.0","16.0","8.0","-"
"No occupation/not working outside home","130.0","41.0","89.0","-"
"Homemakers","25.0","-","25.0","-"
"Students or children","78.0","27.0","51.0","-"
"Retirees","18.0","D","D","-"
"Unemployed","9.0","D","D","-"
"Unknown","746.0","320.0","426.0","-"
"","","","",""
"Leading countries of birth","","","",""
"China","10.0","3.0","7.0","-"
"El Salvador","32.0","10.0","22.0","-"
"Fiji","23.0","10.0","13.0","-"
"Germany","12.0","D","D","-"
"Guatemala","7.0","3.0","4.0","-"
"India","69.0","34.0","35.0","-"
"Iran","11.0","6.0","5.0","-"
"Jamaica","11.0","5.0","6.0","-"
"Korea","12.0","D","D","-"
"Laos","11.0","6.0","5.0","-"
"Mexico","279.0","141.0","138.0","-"
"Nicaragua","23.0","11.0","12.0","-"
"Pakistan","16.0","11.0","5.0","-"
"Peru","16.0","7.0","9.0","-"
"Philippines","524.0","227.0","297.0","-"
"Russia","7.0","D","D","-"
"Taiwan","10.0","6.0","4.0","-"
"Thailand","8.0","D","D","-"
"United Kingdom","8.0","D","D","-"
"Vietnam","29.0","11.0","18.0","-"
"Other","151.0","61.0","90.0","-"
"Unknown","3.0","2.0","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
