"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Vineland-Millville-Bridgeton, NJ","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","135.0","65.0","70.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","22.0","11.0","11.0","-"
"25 to 34 years","41.0","18.0","23.0","-"
"35 to 44 years","30.0","14.0","16.0","-"
"45 to 54 years","20.0","8.0","12.0","-"
"55 to 64 years","13.0","9.0","4.0","-"
"65 years and over","9.0","5.0","4.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","37.0","17.0","20.0","-"
"Married","87.0","42.0","45.0","-"
"Other","11.0","6.0","5.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","16.0","5.0","11.0","-"
"Service occupations","6.0","3.0","3.0","-"
"Sales and office occupations","D","D","3.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","5.0","5.0","-","-"
"Production, transportation, and material moving occupations","12.0","6.0","6.0","-"
"Military","D","D","-","-"
"No occupation/not working outside home","15.0","9.0","6.0","-"
"Homemakers","D","D","D","-"
"Students or children","6.0","D","D","-"
"Retirees","D","D","-","-"
"Unemployed","6.0","D","D","-"
"Unknown","75.0","34.0","41.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Argentina","D","D","-","-"
"China","6.0","3.0","3.0","-"
"Cuba","D","-","D","-"
"Dominican Republic","11.0","4.0","7.0","-"
"France","3.0","D","D","-"
"Georgia","D","D","-","-"
"Greece","D","D","-","-"
"Guatemala","6.0","3.0","3.0","-"
"Haiti","3.0","D","D","-"
"India","11.0","7.0","4.0","-"
"Italy","3.0","3.0","-","-"
"Jamaica","17.0","6.0","11.0","-"
"Mexico","14.0","10.0","4.0","-"
"Peru","3.0","D","D","-"
"Philippines","4.0","D","D","-"
"Poland","6.0","D","D","-"
"Russia","4.0","D","D","-"
"Soviet Union (former)","4.0","D","D","-"
"Turkey","4.0","D","D","-"
"Ukraine","19.0","10.0","9.0","-"
"Other","12.0","3.0","9.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
