"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Chico, CA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","200.0","87.0","113.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","28.0","13.0","15.0","-"
"25 to 34 years","57.0","23.0","34.0","-"
"35 to 44 years","41.0","14.0","27.0","-"
"45 to 54 years","36.0","12.0","24.0","-"
"55 to 64 years","21.0","13.0","8.0","-"
"65 years and over","17.0","12.0","5.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","44.0","22.0","22.0","-"
"Married","139.0","62.0","77.0","-"
"Other","17.0","3.0","14.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","11.0","3.0","8.0","-"
"Service occupations","8.0","D","D","-"
"Sales and office occupations","11.0","D","D","-"
"Farming, fishing, and forestry occupations","D","4.0","D","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","14.0","D","D","-"
"Military","D","D","-","-"
"No occupation/not working outside home","34.0","9.0","25.0","-"
"Homemakers","6.0","-","6.0","-"
"Students or children","23.0","D","D","-"
"Retirees","D","D","D","-"
"Unemployed","D","-","D","-"
"Unknown","114.0","54.0","60.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Algeria","D","D","-","-"
"Australia","D","D","-","-"
"Bosnia and Herzegovina","D","D","D","-"
"Canada","4.0","D","D","-"
"China","D","D","D","-"
"Czechoslovakia (former)","3.0","D","D","-"
"Ethiopia","3.0","D","D","-"
"India","11.0","6.0","5.0","-"
"Iran","D","-","D","-"
"Kuwait","D","D","D","-"
"Laos","28.0","14.0","14.0","-"
"Mexico","85.0","42.0","43.0","-"
"Pakistan","D","-","D","-"
"Philippines","7.0","D","D","-"
"Romania","3.0","D","D","-"
"Russia","5.0","-","5.0","-"
"Syria","4.0","D","D","-"
"Taiwan","3.0","-","3.0","-"
"Thailand","10.0","5.0","5.0","-"
"United Kingdom","3.0","D","D","-"
"Other","19.0","5.0","14.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
