"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Corpus Christi, TX","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","266.0","101.0","165.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","33.0","15.0","18.0","-"
"25 to 34 years","68.0","26.0","42.0","-"
"35 to 44 years","77.0","23.0","54.0","-"
"45 to 54 years","44.0","15.0","29.0","-"
"55 to 64 years","27.0","12.0","15.0","-"
"65 years and over","17.0","10.0","7.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","48.0","25.0","23.0","-"
"Married","186.0","69.0","117.0","-"
"Other","32.0","7.0","25.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","34.0","10.0","24.0","-"
"Service occupations","5.0","D","D","-"
"Sales and office occupations","11.0","4.0","7.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","D","D","-","-"
"Military","10.0","D","D","-"
"No occupation/not working outside home","43.0","12.0","31.0","-"
"Homemakers","12.0","-","12.0","-"
"Students or children","19.0","6.0","13.0","-"
"Retirees","7.0","D","D","-"
"Unemployed","5.0","D","D","-"
"Unknown","158.0","61.0","97.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bolivia","3.0","D","D","-"
"Bulgaria","D","-","D","-"
"Canada","6.0","D","D","-"
"Colombia","4.0","D","D","-"
"Costa Rica","D","D","D","-"
"Cuba","D","D","-","-"
"El Salvador","4.0","D","D","-"
"Germany","4.0","D","D","-"
"Guatemala","6.0","3.0","3.0","-"
"India","14.0","8.0","6.0","-"
"Jordan","5.0","D","D","-"
"Korea","9.0","D","D","-"
"Lebanon","3.0","D","D","-"
"Mexico","105.0","45.0","60.0","-"
"Pakistan","4.0","D","D","-"
"Panama","4.0","D","D","-"
"Philippines","26.0","9.0","17.0","-"
"Spain","3.0","-","3.0","-"
"United Kingdom","5.0","D","D","-"
"Vietnam","11.0","3.0","8.0","-"
"Other","44.0","12.0","32.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
