"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Daphne-Fairhope-Foley, AL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","72.0","31.0","41.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","4.0","D","D","-"
"25 to 34 years","16.0","D","D","-"
"35 to 44 years","23.0","9.0","14.0","-"
"45 to 54 years","10.0","D","D","-"
"55 to 64 years","19.0","10.0","9.0","-"
"65 years and over","-","-","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","6.0","3.0","3.0","-"
"Married","58.0","24.0","34.0","-"
"Other","8.0","4.0","4.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","7.0","D","D","-"
"Service occupations","D","D","D","-"
"Sales and office occupations","3.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","D","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","7.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","4.0","D","D","-"
"Retirees","D","-","D","-"
"Unemployed","-","-","-","-"
"Unknown","50.0","21.0","29.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Argentina","D","D","-","-"
"Australia","D","D","-","-"
"Bangladesh","D","D","-","-"
"Bosnia and Herzegovina","D","-","D","-"
"Brazil","D","-","D","-"
"Canada","3.0","D","D","-"
"China","D","-","D","-"
"Colombia","D","-","D","-"
"Costa Rica","D","D","-","-"
"Cuba","D","-","D","-"
"Czech Republic","D","D","D","-"
"Egypt","D","D","-","-"
"El Salvador","D","D","D","-"
"India","3.0","D","D","-"
"Mexico","9.0","4.0","5.0","-"
"Netherlands","4.0","D","D","-"
"Panama","4.0","D","D","-"
"Philippines","7.0","D","D","-"
"Russia","3.0","D","D","-"
"United Kingdom","7.0","D","D","-"
"Other","14.0","6.0","8.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
