"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Dayton, OH","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","485.0","201.0","284.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","55.0","21.0","34.0","-"
"25 to 34 years","122.0","46.0","76.0","-"
"35 to 44 years","135.0","61.0","74.0","-"
"45 to 54 years","75.0","32.0","43.0","-"
"55 to 64 years","56.0","23.0","33.0","-"
"65 years and over","42.0","18.0","24.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","97.0","49.0","48.0","-"
"Married","343.0","140.0","203.0","-"
"Other","45.0","12.0","33.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","65.0","37.0","28.0","-"
"Service occupations","22.0","8.0","14.0","-"
"Sales and office occupations","23.0","12.0","11.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","23.0","17.0","6.0","-"
"Military","D","D","4.0","-"
"No occupation/not working outside home","49.0","14.0","35.0","-"
"Homemakers","7.0","-","7.0","-"
"Students or children","37.0","D","D","-"
"Retirees","D","D","D","-"
"Unemployed","D","D","-","-"
"Unknown","291.0","105.0","186.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bosnia and Herzegovina","8.0","3.0","5.0","-"
"Cambodia","6.0","D","D","-"
"Canada","11.0","6.0","5.0","-"
"China","26.0","10.0","16.0","-"
"Egypt","7.0","3.0","4.0","-"
"Ghana","7.0","3.0","4.0","-"
"India","117.0","50.0","67.0","-"
"Iran","6.0","3.0","3.0","-"
"Jamaica","8.0","5.0","3.0","-"
"Jordan","10.0","4.0","6.0","-"
"Kenya","6.0","D","D","-"
"Korea","6.0","-","6.0","-"
"Lebanon","11.0","8.0","3.0","-"
"Mexico","14.0","5.0","9.0","-"
"Nigeria","17.0","9.0","8.0","-"
"Pakistan","12.0","5.0","7.0","-"
"Philippines","18.0","8.0","10.0","-"
"Rwanda","9.0","6.0","3.0","-"
"United Kingdom","17.0","7.0","10.0","-"
"Vietnam","38.0","8.0","30.0","-"
"Other","128.0","55.0","73.0","-"
"Unknown","3.0","-","3.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
