"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Deltona-Daytona Beach-Ormond Beach, FL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","716.0","321.0","395.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","66.0","33.0","33.0","-"
"25 to 34 years","186.0","78.0","108.0","-"
"35 to 44 years","174.0","69.0","105.0","-"
"45 to 54 years","136.0","62.0","74.0","-"
"55 to 64 years","87.0","38.0","49.0","-"
"65 years and over","67.0","41.0","26.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","134.0","79.0","55.0","-"
"Married","478.0","197.0","281.0","-"
"Other","104.0","45.0","59.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","94.0","40.0","54.0","-"
"Service occupations","18.0","5.0","13.0","-"
"Sales and office occupations","31.0","13.0","18.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","7.0","7.0","-","-"
"Production, transportation, and material moving occupations","14.0","9.0","5.0","-"
"Military","5.0","5.0","-","-"
"No occupation/not working outside home","105.0","42.0","63.0","-"
"Homemakers","20.0","-","20.0","-"
"Students or children","54.0","24.0","30.0","-"
"Retirees","27.0","D","D","-"
"Unemployed","4.0","D","D","-"
"Unknown","442.0","200.0","242.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bangladesh","11.0","6.0","5.0","-"
"Brazil","20.0","6.0","14.0","-"
"Bulgaria","14.0","8.0","6.0","-"
"Canada","25.0","13.0","12.0","-"
"China","12.0","9.0","3.0","-"
"Colombia","25.0","8.0","17.0","-"
"Cuba","22.0","9.0","13.0","-"
"Dominican Republic","19.0","9.0","10.0","-"
"Germany","15.0","4.0","11.0","-"
"Haiti","15.0","8.0","7.0","-"
"Honduras","13.0","5.0","8.0","-"
"India","52.0","24.0","28.0","-"
"Jamaica","34.0","18.0","16.0","-"
"Korea","13.0","8.0","5.0","-"
"Mexico","47.0","25.0","22.0","-"
"Philippines","45.0","13.0","32.0","-"
"Russia","14.0","3.0","11.0","-"
"Trinidad and Tobago","24.0","12.0","12.0","-"
"United Kingdom","27.0","11.0","16.0","-"
"Vietnam","21.0","7.0","14.0","-"
"Other","244.0","113.0","131.0","-"
"Unknown","4.0","2.0","2.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
