"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Eagle Pass, TX","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","136.0","51.0","85.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","17.0","8.0","9.0","-"
"25 to 34 years","39.0","8.0","31.0","-"
"35 to 44 years","24.0","10.0","14.0","-"
"45 to 54 years","13.0","4.0","9.0","-"
"55 to 64 years","28.0","11.0","17.0","-"
"65 years and over","15.0","10.0","5.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","21.0","8.0","13.0","-"
"Married","105.0","39.0","66.0","-"
"Other","10.0","4.0","6.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","11.0","D","D","-"
"Service occupations","4.0","D","D","-"
"Sales and office occupations","7.0","3.0","4.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","6.0","D","D","-"
"Military","D","D","-","-"
"No occupation/not working outside home","36.0","9.0","27.0","-"
"Homemakers","13.0","-","13.0","-"
"Students or children","14.0","D","D","-"
"Retirees","5.0","D","D","-"
"Unemployed","4.0","D","D","-"
"Unknown","69.0","23.0","46.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Mexico","D","51.0","D","-"
"Philippines","D","-","D","-"
"Unknown","D","-","D","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
