"Persons Naturalized During Fiscal Year 2006","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Fayetteville, NC","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","709.0","335.0","374.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","195.0","144.0","51.0","-"
"25 to 34 years","270.0","134.0","136.0","-"
"35 to 44 years","155.0","31.0","124.0","-"
"45 to 54 years","55.0","17.0","38.0","-"
"55 to 64 years","25.0","5.0","20.0","-"
"65 years and over","9.0","4.0","5.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","190.0","153.0","37.0","-"
"Married","469.0","168.0","301.0","-"
"Other","50.0","14.0","36.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","62.0","13.0","49.0","-"
"Service occupations","25.0","D","D","-"
"Sales and office occupations","32.0","10.0","22.0","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","D","6.0","D","-"
"Production, transportation, and material moving occupations","19.0","D","D","-"
"Military","277.0","216.0","61.0","-"
"No occupation/not working outside home","107.0","15.0","92.0","-"
"Homemakers","45.0","-","45.0","-"
"Students or children","46.0","11.0","35.0","-"
"Retirees","3.0","D","D","-"
"Unemployed","13.0","D","D","-"
"Unknown","179.0","62.0","117.0","-"
"","","","",""
"Leading countries of birth","","","",""
"China","10.0","D","D","-"
"Colombia","20.0","6.0","14.0","-"
"Cuba","11.0","4.0","7.0","-"
"Dominican Republic","22.0","14.0","8.0","-"
"Ecuador","9.0","D","D","-"
"Germany","25.0","D","D","-"
"Haiti","11.0","D","D","-"
"India","21.0","13.0","8.0","-"
"Jamaica","32.0","18.0","14.0","-"
"Korea","52.0","17.0","35.0","-"
"Mexico","86.0","52.0","34.0","-"
"Nicaragua","12.0","9.0","3.0","-"
"Nigeria","9.0","D","D","-"
"Panama","49.0","8.0","41.0","-"
"Peru","16.0","9.0","7.0","-"
"Philippines","41.0","12.0","29.0","-"
"Taiwan","9.0","4.0","5.0","-"
"Thailand","14.0","7.0","7.0","-"
"Trinidad and Tobago","12.0","7.0","5.0","-"
"Vietnam","14.0","8.0","6.0","-"
"Other","231.0","119.0","112.0","-"
"Unknown","3.0","1.0","2.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
