"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Allentown-Bethlehem-Easton, PA-NJ","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1028.0","449.0","579.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","96.0","40.0","56.0","-"
"25 to 34 years","278.0","108.0","170.0","-"
"35 to 44 years","325.0","149.0","176.0","-"
"45 to 54 years","177.0","84.0","93.0","-"
"55 to 64 years","81.0","38.0","43.0","-"
"65 years and over","71.0","30.0","41.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","176.0","90.0","86.0","-"
"Married","742.0","319.0","423.0","-"
"Other","110.0","40.0","70.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","86.0","48.0","38.0","-"
"Service occupations","6.0","D","D","-"
"Sales and office occupations","11.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","43.0","29.0","14.0","-"
"Military","D","D","D","-"
"No occupation/not working outside home","78.0","25.0","53.0","-"
"Homemakers","12.0","-","12.0","-"
"Students or children","42.0","14.0","28.0","-"
"Retirees","8.0","5.0","3.0","-"
"Unemployed","16.0","6.0","10.0","-"
"Unknown","800.0","339.0","461.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bosnia and Herzegovina","21.0","10.0","11.0","-"
"Canada","20.0","8.0","12.0","-"
"China","37.0","18.0","19.0","-"
"Colombia","28.0","12.0","16.0","-"
"Dominican Republic","114.0","55.0","59.0","-"
"Ecuador","31.0","13.0","18.0","-"
"Egypt","19.0","13.0","6.0","-"
"India","128.0","60.0","68.0","-"
"Jamaica","17.0","8.0","9.0","-"
"Lebanon","14.0","6.0","8.0","-"
"Mexico","17.0","11.0","6.0","-"
"Pakistan","19.0","8.0","11.0","-"
"Peru","18.0","6.0","12.0","-"
"Philippines","35.0","14.0","21.0","-"
"Poland","25.0","12.0","13.0","-"
"Syria","68.0","24.0","44.0","-"
"Trinidad and Tobago","16.0","7.0","9.0","-"
"Ukraine","20.0","9.0","11.0","-"
"United Kingdom","15.0","8.0","7.0","-"
"Vietnam","65.0","25.0","40.0","-"
"Other","301.0","122.0","179.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
