"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Fayetteville, NC","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","351.0","173.0","178.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","73.0","51.0","22.0","-"
"25 to 34 years","149.0","89.0","60.0","-"
"35 to 44 years","68.0","18.0","50.0","-"
"45 to 54 years","42.0","9.0","33.0","-"
"55 to 64 years","13.0","3.0","10.0","-"
"65 years and over","6.0","3.0","3.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","73.0","56.0","17.0","-"
"Married","249.0","107.0","142.0","-"
"Other","29.0","10.0","19.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","26.0","11.0","15.0","-"
"Service occupations","18.0","5.0","13.0","-"
"Sales and office occupations","18.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","D","D","D","-"
"Military","132.0","108.0","24.0","-"
"No occupation/not working outside home","57.0","16.0","41.0","-"
"Homemakers","14.0","-","14.0","-"
"Students or children","31.0","12.0","19.0","-"
"Retirees","D","D","-","-"
"Unemployed","D","D","8.0","-"
"Unknown","95.0","24.0","71.0","-"
"","","","",""
"Leading countries of birth","","","",""
"China","9.0","5.0","4.0","-"
"Colombia","9.0","D","D","-"
"Dominican Republic","11.0","6.0","5.0","-"
"Ecuador","5.0","D","D","-"
"El Salvador","5.0","D","D","-"
"Germany","18.0","3.0","15.0","-"
"Haiti","6.0","3.0","3.0","-"
"Honduras","5.0","D","D","-"
"India","7.0","4.0","3.0","-"
"Jamaica","20.0","14.0","6.0","-"
"Korea","30.0","9.0","21.0","-"
"Mexico","25.0","15.0","10.0","-"
"Nicaragua","7.0","D","D","-"
"Panama","25.0","D","D","-"
"Peru","8.0","D","D","-"
"Philippines","22.0","14.0","8.0","-"
"Russia","5.0","D","D","-"
"Trinidad and Tobago","7.0","4.0","3.0","-"
"Venezuela","5.0","D","D","-"
"Vietnam","14.0","8.0","6.0","-"
"Other","108.0","66.0","42.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
