"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Flint, MI","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","143.0","63.0","80.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","16.0","10.0","6.0","-"
"25 to 34 years","30.0","9.0","21.0","-"
"35 to 44 years","51.0","20.0","31.0","-"
"45 to 54 years","25.0","13.0","12.0","-"
"55 to 64 years","9.0","5.0","4.0","-"
"65 years and over","12.0","6.0","6.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","20.0","13.0","7.0","-"
"Married","109.0","43.0","66.0","-"
"Other","14.0","7.0","7.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","30.0","15.0","15.0","-"
"Service occupations","10.0","3.0","7.0","-"
"Sales and office occupations","12.0","8.0","4.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","D","D","4.0","-"
"Military","D","D","-","-"
"No occupation/not working outside home","25.0","10.0","15.0","-"
"Homemakers","D","-","D","-"
"Students or children","12.0","7.0","5.0","-"
"Retirees","D","D","D","-"
"Unemployed","6.0","D","D","-"
"Unknown","58.0","23.0","35.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Canada","6.0","3.0","3.0","-"
"China","D","D","D","-"
"Cuba","D","-","D","-"
"Egypt","4.0","D","D","-"
"Germany","3.0","D","D","-"
"India","20.0","9.0","11.0","-"
"Iraq","9.0","5.0","4.0","-"
"Jordan","3.0","D","D","-"
"Lebanon","5.0","D","D","-"
"Mexico","11.0","D","D","-"
"Nigeria","4.0","D","D","-"
"Pakistan","3.0","D","D","-"
"Peru","3.0","D","D","-"
"Philippines","10.0","3.0","7.0","-"
"Russia","5.0","D","D","-"
"Syria","5.0","D","D","-"
"Taiwan","3.0","D","D","-"
"Ukraine","3.0","D","D","-"
"United Kingdom","3.0","D","D","-"
"Vietnam","5.0","D","D","-"
"Other","33.0","18.0","15.0","-"
"Unknown","1.0","-","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
