"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Fort Walton Beach-Crestview-Destin, FL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","165.0","44.0","121.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","19.0","9.0","10.0","-"
"25 to 34 years","46.0","13.0","33.0","-"
"35 to 44 years","52.0","10.0","42.0","-"
"45 to 54 years","21.0","D","D","-"
"55 to 64 years","17.0","6.0","11.0","-"
"65 years and over","10.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","27.0","10.0","17.0","-"
"Married","125.0","30.0","95.0","-"
"Other","13.0","4.0","9.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","13.0","D","D","-"
"Service occupations","D","D","D","-"
"Sales and office occupations","4.0","-","4.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","D","D","-","-"
"Military","10.0","D","D","-"
"No occupation/not working outside home","14.0","4.0","10.0","-"
"Homemakers","D","-","D","-"
"Students or children","8.0","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","D","D","-","-"
"Unknown","119.0","28.0","91.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Brazil","8.0","D","D","-"
"Canada","8.0","4.0","4.0","-"
"Colombia","D","-","D","-"
"Germany","6.0","D","D","-"
"Honduras","3.0","D","D","-"
"India","D","D","D","-"
"Iran","D","D","D","-"
"Japan","3.0","-","3.0","-"
"Korea","12.0","D","D","-"
"Mexico","6.0","D","D","-"
"Panama","3.0","-","3.0","-"
"Peru","3.0","-","3.0","-"
"Philippines","36.0","8.0","28.0","-"
"Poland","3.0","-","3.0","-"
"Russia","4.0","-","4.0","-"
"Thailand","9.0","3.0","6.0","-"
"Turkey","3.0","D","D","-"
"United Kingdom","8.0","D","D","-"
"Venezuela","3.0","-","3.0","-"
"Vietnam","7.0","-","7.0","-"
"Other","33.0","12.0","21.0","-"
"Unknown","1.0","-","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
