"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Greenville, NC","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","56.0","23.0","33.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","11.0","D","D","-"
"25 to 34 years","12.0","5.0","7.0","-"
"35 to 44 years","15.0","7.0","8.0","-"
"45 to 54 years","12.0","7.0","5.0","-"
"55 to 64 years","D","D","D","-"
"65 years and over","D","-","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","14.0","D","D","-"
"Married","37.0","16.0","21.0","-"
"Other","5.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","19.0","8.0","11.0","-"
"Service occupations","D","D","D","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","-","-","-","-"
"Military","-","-","-","-"
"No occupation/not working outside home","9.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","D","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","-","-","-","-"
"Unknown","23.0","10.0","13.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Albania","D","-","D","-"
"Belarus","D","-","D","-"
"Brazil","3.0","D","D","-"
"Bulgaria","D","-","D","-"
"Canada","5.0","D","D","-"
"China","8.0","D","D","-"
"Costa Rica","D","D","-","-"
"Cuba","D","D","-","-"
"Egypt","D","D","D","-"
"Germany","D","-","D","-"
"Ghana","D","-","D","-"
"Guyana","D","-","D","-"
"Honduras","D","D","-","-"
"Hungary","D","D","-","-"
"India","3.0","D","D","-"
"Mexico","4.0","D","D","-"
"Panama","D","-","D","-"
"Philippines","3.0","D","D","-"
"Russia","4.0","D","D","-"
"Vietnam","D","D","D","-"
"Other","9.0","6.0","3.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
