"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Guymon, OK","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","60.0","28.0","32.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","7.0","D","D","-"
"25 to 34 years","18.0","8.0","10.0","-"
"35 to 44 years","18.0","6.0","12.0","-"
"45 to 54 years","D","D","D","-"
"55 to 64 years","9.0","D","D","-"
"65 years and over","D","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","D","D","D","-"
"Married","49.0","24.0","25.0","-"
"Other","D","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","D","-","D","-"
"Service occupations","-","-","-","-"
"Sales and office occupations","-","-","-","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","10.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","D","D","6.0","-"
"Homemakers","D","-","D","-"
"Students or children","D","-","D","-"
"Retirees","D","D","D","-"
"Unemployed","D","-","D","-"
"Unknown","42.0","23.0","19.0","-"
"","","","",""
"Leading countries of birth","","","",""
"India","D","-","D","-"
"Mexico","55.0","D","D","-"
"Philippines","D","-","D","-"
"Vietnam","D","D","D","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
