"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Hagerstown-Martinsburg, MD-WV","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","109.0","48.0","61.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","11.0","D","D","-"
"25 to 34 years","23.0","7.0","16.0","-"
"35 to 44 years","47.0","23.0","24.0","-"
"45 to 54 years","17.0","9.0","8.0","-"
"55 to 64 years","D","D","6.0","-"
"65 years and over","D","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","17.0","D","D","-"
"Married","86.0","39.0","47.0","-"
"Other","6.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","10.0","D","D","-"
"Service occupations","D","D","-","-"
"Sales and office occupations","-","-","-","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","-","-","-","-"
"Military","-","-","-","-"
"No occupation/not working outside home","3.0","D","D","-"
"Homemakers","-","-","-","-"
"Students or children","3.0","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","-","-","-","-"
"Unknown","93.0","39.0","54.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Belarus","D","D","D","-"
"Bolivia","3.0","D","D","-"
"Burma","3.0","D","D","-"
"Canada","4.0","D","D","-"
"China","4.0","D","D","-"
"Colombia","6.0","D","D","-"
"Dominican Republic","5.0","D","D","-"
"Ecuador","5.0","D","D","-"
"El Salvador","7.0","D","D","-"
"Ghana","3.0","3.0","-","-"
"India","10.0","4.0","6.0","-"
"Iran","D","D","D","-"
"Iraq","D","D","D","-"
"Korea","D","D","D","-"
"Mexico","8.0","3.0","5.0","-"
"Pakistan","D","D","D","-"
"Philippines","15.0","4.0","11.0","-"
"Russia","3.0","-","3.0","-"
"United Kingdom","3.0","D","D","-"
"Vietnam","4.0","D","D","-"
"Other","16.0","9.0","7.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
