"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Indianapolis-Carmel, IN","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1421.0","653.0","768.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","158.0","85.0","73.0","-"
"25 to 34 years","361.0","146.0","215.0","-"
"35 to 44 years","475.0","218.0","257.0","-"
"45 to 54 years","237.0","121.0","116.0","-"
"55 to 64 years","100.0","49.0","51.0","-"
"65 years and over","90.0","34.0","56.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","249.0","134.0","115.0","-"
"Married","1037.0","468.0","569.0","-"
"Other","135.0","51.0","84.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","177.0","85.0","92.0","-"
"Service occupations","67.0","22.0","45.0","-"
"Sales and office occupations","65.0","24.0","41.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","6.0","6.0","-","-"
"Production, transportation, and material moving occupations","54.0","D","D","-"
"Military","12.0","D","D","-"
"No occupation/not working outside home","145.0","55.0","90.0","-"
"Homemakers","17.0","-","17.0","-"
"Students or children","115.0","51.0","64.0","-"
"Retirees","8.0","D","D","-"
"Unemployed","5.0","D","D","-"
"Unknown","895.0","407.0","488.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bosnia and Herzegovina","31.0","20.0","11.0","-"
"Canada","28.0","12.0","16.0","-"
"China","108.0","37.0","71.0","-"
"Colombia","26.0","13.0","13.0","-"
"Dominican Republic","28.0","15.0","13.0","-"
"Egypt","21.0","10.0","11.0","-"
"El Salvador","21.0","9.0","12.0","-"
"Germany","18.0","8.0","10.0","-"
"Honduras","19.0","9.0","10.0","-"
"India","218.0","110.0","108.0","-"
"Korea","41.0","15.0","26.0","-"
"Mexico","133.0","59.0","74.0","-"
"Nicaragua","25.0","4.0","21.0","-"
"Nigeria","45.0","19.0","26.0","-"
"Pakistan","28.0","14.0","14.0","-"
"Philippines","51.0","16.0","35.0","-"
"Russia","22.0","7.0","15.0","-"
"Ukraine","23.0","8.0","15.0","-"
"United Kingdom","29.0","16.0","13.0","-"
"Vietnam","43.0","18.0","25.0","-"
"Other","461.0","233.0","228.0","-"
"Unknown","2.0","1.0","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
