"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Athens-Clarke County, GA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","136.0","59.0","77.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","21.0","8.0","13.0","-"
"25 to 34 years","36.0","13.0","23.0","-"
"35 to 44 years","40.0","19.0","21.0","-"
"45 to 54 years","23.0","11.0","12.0","-"
"55 to 64 years","10.0","D","D","-"
"65 years and over","6.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","33.0","15.0","18.0","-"
"Married","87.0","37.0","50.0","-"
"Other","16.0","7.0","9.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","15.0","9.0","6.0","-"
"Service occupations","5.0","D","D","-"
"Sales and office occupations","10.0","3.0","7.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","3.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","22.0","7.0","15.0","-"
"Homemakers","D","-","D","-"
"Students or children","18.0","7.0","11.0","-"
"Retirees","D","-","D","-"
"Unemployed","D","-","D","-"
"Unknown","81.0","36.0","45.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Brazil","D","D","D","-"
"Canada","D","D","D","-"
"China","8.0","4.0","4.0","-"
"Cuba","D","D","-","-"
"Czechoslovakia (former)","D","D","D","-"
"Dominican Republic","D","D","D","-"
"El Salvador","4.0","D","D","-"
"France","D","D","D","-"
"Guatemala","3.0","D","D","-"
"Haiti","D","D","-","-"
"India","17.0","11.0","6.0","-"
"Iran","D","D","D","-"
"Ireland","D","D","-","-"
"Korea","6.0","D","D","-"
"Mexico","21.0","7.0","14.0","-"
"Peru","10.0","3.0","7.0","-"
"Philippines","7.0","3.0","4.0","-"
"Romania","D","D","D","-"
"Russia","3.0","-","3.0","-"
"Taiwan","3.0","D","D","-"
"Other","34.0","13.0","21.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
