"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Lakeland-Winter Haven, FL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","706.0","328.0","378.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","54.0","22.0","32.0","-"
"25 to 34 years","197.0","92.0","105.0","-"
"35 to 44 years","213.0","102.0","111.0","-"
"45 to 54 years","113.0","57.0","56.0","-"
"55 to 64 years","82.0","34.0","48.0","-"
"65 years and over","47.0","21.0","26.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","117.0","63.0","54.0","-"
"Married","504.0","233.0","271.0","-"
"Other","85.0","32.0","53.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","63.0","32.0","31.0","-"
"Service occupations","24.0","8.0","16.0","-"
"Sales and office occupations","17.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","36.0","D","D","-"
"Military","D","D","-","-"
"No occupation/not working outside home","56.0","20.0","36.0","-"
"Homemakers","14.0","-","14.0","-"
"Students or children","24.0","11.0","13.0","-"
"Retirees","11.0","6.0","5.0","-"
"Unemployed","7.0","3.0","4.0","-"
"Unknown","501.0","222.0","279.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Canada","13.0","6.0","7.0","-"
"Colombia","32.0","14.0","18.0","-"
"Cuba","71.0","30.0","41.0","-"
"Dominican Republic","31.0","14.0","17.0","-"
"Ecuador","12.0","6.0","6.0","-"
"El Salvador","9.0","D","D","-"
"Guatemala","9.0","6.0","3.0","-"
"Guyana","19.0","5.0","14.0","-"
"Haiti","89.0","51.0","38.0","-"
"India","50.0","26.0","24.0","-"
"Jamaica","42.0","20.0","22.0","-"
"Jordan","8.0","D","D","-"
"Mexico","103.0","50.0","53.0","-"
"Morocco","10.0","7.0","3.0","-"
"Nicaragua","14.0","5.0","9.0","-"
"Panama","8.0","D","D","-"
"Philippines","29.0","14.0","15.0","-"
"United Kingdom","19.0","8.0","11.0","-"
"Venezuela","15.0","8.0","7.0","-"
"Vietnam","13.0","8.0","5.0","-"
"Other","109.0","45.0","64.0","-"
"Unknown","1.0","-","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
