"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Lawton, OK","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","68.0","33.0","35.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","D","D","-","-"
"25 to 34 years","24.0","13.0","11.0","-"
"35 to 44 years","19.0","D","D","-"
"45 to 54 years","10.0","-","10.0","-"
"55 to 64 years","D","-","D","-"
"65 years and over","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","11.0","11.0","-","-"
"Married","45.0","19.0","26.0","-"
"Other","12.0","3.0","9.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","4.0","D","D","-"
"Service occupations","3.0","-","3.0","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","3.0","D","D","-"
"Military","16.0","16.0","-","-"
"No occupation/not working outside home","11.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","8.0","D","D","-"
"Retirees","D","D","-","-"
"Unemployed","-","-","-","-"
"Unknown","28.0","11.0","17.0","-"
"","","","",""
"Leading countries of birth","","","",""
"American Samoa","D","D","-","-"
"Bolivia","D","D","-","-"
"Bulgaria","D","-","D","-"
"Cambodia","D","D","-","-"
"Canada","D","D","D","-"
"China","D","D","D","-"
"Cuba","D","D","-","-"
"Ecuador","D","D","-","-"
"Egypt","3.0","D","D","-"
"Germany","9.0","D","D","-"
"Ghana","D","-","D","-"
"Haiti","D","D","-","-"
"Korea","6.0","D","D","-"
"Mexico","8.0","5.0","3.0","-"
"Peru","D","D","D","-"
"Philippines","4.0","D","D","-"
"Thailand","D","-","D","-"
"Trinidad and Tobago","4.0","D","D","-"
"United Kingdom","D","D","D","-"
"Vietnam","3.0","3.0","-","-"
"Other","12.0","5.0","7.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
