"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Manchester-Nashua, NH","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1110.0","475.0","635.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","106.0","42.0","64.0","-"
"25 to 34 years","307.0","114.0","193.0","-"
"35 to 44 years","383.0","175.0","208.0","-"
"45 to 54 years","188.0","90.0","98.0","-"
"55 to 64 years","80.0","33.0","47.0","-"
"65 years and over","46.0","21.0","25.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","181.0","94.0","87.0","-"
"Married","829.0","340.0","489.0","-"
"Other","100.0","41.0","59.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","105.0","61.0","44.0","-"
"Service occupations","D","-","D","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","37.0","D","D","-"
"Military","D","D","-","-"
"No occupation/not working outside home","47.0","17.0","30.0","-"
"Homemakers","9.0","-","9.0","-"
"Students or children","29.0","13.0","16.0","-"
"Retirees","D","4.0","D","-"
"Unemployed","D","-","D","-"
"Unknown","915.0","365.0","550.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Albania","17.0","7.0","10.0","-"
"Bosnia and Herzegovina","70.0","33.0","37.0","-"
"Brazil","47.0","15.0","32.0","-"
"Canada","61.0","26.0","35.0","-"
"China","34.0","13.0","21.0","-"
"Colombia","43.0","14.0","29.0","-"
"Dominican Republic","92.0","37.0","55.0","-"
"Haiti","17.0","10.0","7.0","-"
"India","190.0","93.0","97.0","-"
"Lebanon","12.0","6.0","6.0","-"
"Mexico","32.0","18.0","14.0","-"
"Philippines","25.0","4.0","21.0","-"
"Portugal","12.0","7.0","5.0","-"
"Romania","13.0","6.0","7.0","-"
"Russia","20.0","3.0","17.0","-"
"Serbia and Montenegro","16.0","6.0","10.0","-"
"Sudan","35.0","22.0","13.0","-"
"Taiwan","13.0","6.0","7.0","-"
"United Kingdom","20.0","13.0","7.0","-"
"Vietnam","47.0","20.0","27.0","-"
"Other","294.0","116.0","178.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
