"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Merced, CA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","798.0","411.0","387.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","123.0","58.0","65.0","-"
"25 to 34 years","227.0","100.0","127.0","-"
"35 to 44 years","200.0","104.0","96.0","-"
"45 to 54 years","58.0","29.0","29.0","-"
"55 to 64 years","133.0","83.0","50.0","-"
"65 years and over","57.0","37.0","20.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","166.0","79.0","87.0","-"
"Married","567.0","305.0","262.0","-"
"Other","65.0","27.0","38.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","45.0","17.0","28.0","-"
"Service occupations","27.0","10.0","17.0","-"
"Sales and office occupations","31.0","D","D","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","27.0","27.0","-","-"
"Production, transportation, and material moving occupations","78.0","D","D","-"
"Military","D","D","-","-"
"No occupation/not working outside home","120.0","46.0","74.0","-"
"Homemakers","16.0","-","16.0","-"
"Students or children","67.0","20.0","47.0","-"
"Retirees","21.0","14.0","7.0","-"
"Unemployed","16.0","12.0","4.0","-"
"Unknown","462.0","229.0","233.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Angola","3.0","D","D","-"
"Brazil","D","-","D","-"
"Bulgaria","D","D","D","-"
"Canada","D","D","D","-"
"El Salvador","19.0","6.0","13.0","-"
"Fiji","4.0","D","D","-"
"Guatemala","D","-","D","-"
"India","70.0","37.0","33.0","-"
"Iran","3.0","D","D","-"
"Jordan","D","D","D","-"
"Laos","29.0","16.0","13.0","-"
"Mexico","544.0","304.0","240.0","-"
"Nicaragua","3.0","D","D","-"
"Pakistan","3.0","D","D","-"
"Peru","6.0","D","D","-"
"Philippines","27.0","9.0","18.0","-"
"Portugal","22.0","9.0","13.0","-"
"Thailand","21.0","5.0","16.0","-"
"United Kingdom","7.0","D","D","-"
"Vietnam","3.0","-","3.0","-"
"Other","24.0","5.0","19.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
