"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Milwaukee-Waukesha-West Allis, WI","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1968.0","951.0","1017.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","240.0","97.0","143.0","-"
"25 to 34 years","523.0","241.0","282.0","-"
"35 to 44 years","563.0","278.0","285.0","-"
"45 to 54 years","325.0","168.0","157.0","-"
"55 to 64 years","183.0","102.0","81.0","-"
"65 years and over","134.0","65.0","69.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","418.0","215.0","203.0","-"
"Married","1368.0","653.0","715.0","-"
"Other","182.0","83.0","99.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","187.0","101.0","86.0","-"
"Service occupations","74.0","30.0","44.0","-"
"Sales and office occupations","76.0","33.0","43.0","-"
"Farming, fishing, and forestry occupations","3.0","3.0","-","-"
"Construction, extraction, maintenance and repair occupations","13.0","13.0","-","-"
"Production, transportation, and material moving occupations","188.0","133.0","55.0","-"
"Military","3.0","3.0","-","-"
"No occupation/not working outside home","205.0","80.0","125.0","-"
"Homemakers","23.0","-","23.0","-"
"Students or children","146.0","60.0","86.0","-"
"Retirees","18.0","14.0","4.0","-"
"Unemployed","18.0","6.0","12.0","-"
"Unknown","1219.0","555.0","664.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Albania","49.0","21.0","28.0","-"
"Bosnia and Herzegovina","117.0","55.0","62.0","-"
"Canada","27.0","12.0","15.0","-"
"China","51.0","14.0","37.0","-"
"Croatia","64.0","32.0","32.0","-"
"India","214.0","108.0","106.0","-"
"Iran","29.0","6.0","23.0","-"
"Jamaica","28.0","12.0","16.0","-"
"Jordan","36.0","19.0","17.0","-"
"Laos","99.0","52.0","47.0","-"
"Mexico","367.0","215.0","152.0","-"
"Nigeria","29.0","15.0","14.0","-"
"Pakistan","48.0","27.0","21.0","-"
"Philippines","55.0","15.0","40.0","-"
"Poland","31.0","12.0","19.0","-"
"Russia","28.0","11.0","17.0","-"
"Serbia and Montenegro","42.0","23.0","19.0","-"
"Thailand","45.0","22.0","23.0","-"
"Ukraine","40.0","17.0","23.0","-"
"Vietnam","54.0","25.0","29.0","-"
"Other","511.0","236.0","275.0","-"
"Unknown","4.0","2.0","2.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
